Protein1	Protein1_Accession	Domain1_Name	Domain1_Accession	Protein2	Protein2_Accession	Domain2_Name	Domain2_Accession	Count
bem3	P32873	Rho GTPase-activating protein domain	IPR000198	axl2	P38928	other	None	1
bem3	P32873	Phox homology	IPR001683	axl2	P38928	Dystroglycan-type cadherin-like	IPR006644	1
bem3	P32873	other	None	axl2	P38928	Dystroglycan-type cadherin-like	IPR006644	1
bem3	P32873	other	None	bem1	P29366	SH3 domain	IPR001452	5
bem3	P32873	Phox homology	IPR001683	bem1	P29366	SH3 domain	IPR001452	3
bem3	P32873	other	None	bem1	P29366	other	None	1
bem3	P32873	Rho GTPase-activating protein domain	IPR000198	bem1	P29366	SH3 domain	IPR001452	1
bem3	P32873	other	None	bem3	P32873	other	None	2
bem3	P32873	Pleckstrin homology domain	IPR001849	bud1	P13856	Small GTP-binding domain	IPR005225	2
bem3	P32873	Phox homology	IPR001683	cdc24	P11433	Calponin homology domain	IPR001715	13
bem3	P32873	Phox homology	IPR001683	cdc28	P00546	Protein kinase domain	IPR000719	13
bem3	P32873	other	None	cla4	P48562	Protein kinase domain	IPR000719	1
bem3	P32873	Rho GTPase-activating protein domain	IPR000198	nrp1	P32770	RNA recognition motif domain	IPR000504	6
bem3	P32873	Phox homology	IPR001683	nrp1	P32770	Zinc finger, RanBP2-type	IPR001876	1
bem3	P32873	Rho GTPase-activating protein domain	IPR000198	rga2	Q06407	Rho GTPase-activating protein domain	IPR000198	7
bem3	P32873	Rho GTPase-activating protein domain	IPR000198	ste5	P32917	other	None	4
bni1	P41832	Formin, FH3 domain	IPR010472	bem1	P29366	SH3 domain	IPR001452	1
bni1	P41832	Formin, FH3 domain	IPR010472	bem1	P29366	Phox homology	IPR001683	3
bni1	P41832	Formin, FH2 domain	IPR015425	bem3	P32873	Rho GTPase-activating protein domain	IPR000198	2
bni1	P41832	Formin, FH2 domain	IPR015425	bem3	P32873	Phox homology	IPR001683	4
bni1	P41832	Formin, FH2 domain	IPR015425	bem3	P32873	Pleckstrin homology domain	IPR001849	1
bni1	P41832	Formin, GTPase-binding domain	IPR010473	bni1	P41832	Formin, FH2 domain	IPR015425	10
bni1	P41832	Formin, FH2 domain	IPR015425	bni1	P41832	Formin, FH2 domain	IPR015425	138
bni1	P41832	Formin, FH2 domain	IPR015425	bni1	P41832	Formin, GTPase-binding domain	IPR010473	9
bni1	P41832	Formin, GTPase-binding domain	IPR010473	bud1	P13856	Small GTP-binding domain	IPR005225	1
bni1	P41832	Formin, FH3 domain	IPR010472	bud1	P13856	Small GTP-binding domain	IPR005225	1
bni1	P41832	Formin, FH2 domain	IPR015425	cdc24	P11433	Dbl homology (DH) domain	IPR000219	2
bni1	P41832	Diaphanous autoregulatory (DAD) domain	IPR014767	cdc24	P11433	Pleckstrin homology domain	IPR001849	1
bni1	P41832	Formin, FH2 domain	IPR015425	cdc24	P11433	Pleckstrin homology domain	IPR001849	3
bni1	P41832	Formin, FH2 domain	IPR015425	cdc24	P11433	other	None	1
bni1	P41832	Formin, FH2 domain	IPR015425	cdc28	P00546	Protein kinase domain	IPR000719	3
bni1	P41832	Formin, FH2 domain	IPR015425	cla4	P48562	Protein kinase domain	IPR000719	1
bni1	P41832	Formin, FH2 domain	IPR015425	nrp1	P32770	Zinc finger, RanBP2-type	IPR001876	5
bni1	P41832	other	None	rax1	Q08760	RGS domain	IPR016137	5
bni1	P41832	Formin, FH2 domain	IPR015425	rax1	Q08760	RGS domain	IPR016137	1
bud1	P13856	Small GTP-binding domain	IPR005225	bud1	P13856	Small GTP-binding domain	IPR005225	8
bud3	P25558	Dbl homology (DH) domain	IPR000219	arp2	P32381	Actin family	IPR004000	1
bud3	P25558	Bud3, N-terminal	IPR021895	axl2	P38928	other	None	14
bud3	P25558	Dbl homology (DH) domain	IPR000219	bem3	P32873	Rho GTPase-activating protein domain	IPR000198	1
bud3	P25558	Dbl homology (DH) domain	IPR000219	bni1	P41832	Formin, FH3 domain	IPR010472	2
bud3	P25558	Dbl homology (DH) domain	IPR000219	cdc28	P00546	Protein kinase domain	IPR000719	2
bud3	P25558	other	None	cdc28	P00546	Protein kinase domain	IPR000719	7
bud3	P25558	Dbl homology (DH) domain	IPR000219	cdc42	P19073	Small GTP-binding domain	IPR005225	44
bud3	P25558	other	None	cdc42	P19073	Small GTP-binding domain	IPR005225	3
bud3	P25558	Dbl homology (DH) domain	IPR000219	rdi1	Q12434	Rho protein GDP-dissociation inhibitor	IPR000406	3
bud3	P25558	Bud3, N-terminal	IPR021895	rga2	Q06407	Rho GTPase-activating protein domain	IPR000198	7
bud3	P25558	Dbl homology (DH) domain	IPR000219	rho1	P06780	Small GTP-binding domain	IPR005225	20
bud3	P25558	other	None	rho1	P06780	Small GTP-binding domain	IPR005225	1
cdc24	P11433	Pleckstrin homology domain	IPR001849	bem1	P29366	SH3 domain	IPR001452	1
cdc24	P11433	other	None	bem1	P29366	SH3 domain	IPR001452	1
cdc24	P11433	PB1 domain	IPR000270	bem1	P29366	PB1 domain	IPR000270	22
cdc24	P11433	Calponin homology domain	IPR001715	bem1	P29366	Phox homology	IPR001683	1
cdc24	P11433	Dbl homology (DH) domain	IPR000219	bud1	P13856	Small GTP-binding domain	IPR005225	7
cdc24	P11433	other	None	bud1	P13856	Small GTP-binding domain	IPR005225	3
cdc24	P11433	other	None	cdc24	P11433	PB1 domain	IPR000270	4
cdc24	P11433	Calponin homology domain	IPR001715	cdc24	P11433	Pleckstrin homology domain	IPR001849	5
cdc24	P11433	Calponin homology domain	IPR001715	cdc24	P11433	other	None	1
cdc24	P11433	Pleckstrin homology domain	IPR001849	cdc24	P11433	Calponin homology domain	IPR001715	4
cdc24	P11433	PB1 domain	IPR000270	cdc24	P11433	other	None	3
cdc24	P11433	Dbl homology (DH) domain	IPR000219	cdc42	P19073	Small GTP-binding domain	IPR005225	53
cdc24	P11433	other	None	cdc42	P19073	Small GTP-binding domain	IPR005225	10
cdc24	P11433	Pleckstrin homology domain	IPR001849	cdc42	P19073	Small GTP-binding domain	IPR005225	6
cdc24	P11433	Dbl homology (DH) domain	IPR000219	rga2	Q06407	Rho GTPase-activating protein domain	IPR000198	2
cdc24	P11433	Pleckstrin homology domain	IPR001849	rga2	Q06407	other	None	8
cdc24	P11433	other	None	rga2	Q06407	other	None	1
cdc24	P11433	Calponin homology domain	IPR001715	ste5	P32917	Protein Ste5, Fus3-binding domain	IPR021106	1
cdc28	P00546	Protein kinase domain	IPR000719	axl2	P38928	Dystroglycan-type cadherin-like	IPR006644	3
cdc28	P00546	Protein kinase domain	IPR000719	axl2	P38928	other	None	5
cdc28	P00546	Protein kinase domain	IPR000719	bem1	P29366	Phox homology	IPR001683	10
cdc28	P00546	Protein kinase domain	IPR000719	bem1	P29366	SH3 domain	IPR001452	3
cdc28	P00546	Protein kinase domain	IPR000719	cdc24	P11433	Pleckstrin homology domain	IPR001849	2
cdc28	P00546	Protein kinase domain	IPR000719	cdc24	P11433	PB1 domain	IPR000270	3
cdc28	P00546	Protein kinase domain	IPR000719	cdc24	P11433	Dbl homology (DH) domain	IPR000219	1
cdc28	P00546	Protein kinase domain	IPR000719	rga2	Q06407	Rho GTPase-activating protein domain	IPR000198	8
cdc28	P00546	Protein kinase domain	IPR000719	ste5	P32917	other	None	6
cdc42	P19073	Small GTP-binding domain	IPR005225	axl2	P38928	Dystroglycan-type cadherin-like	IPR006644	2
cdc42	P19073	other	None	axl2	P38928	other	None	1
cdc42	P19073	Small GTP-binding domain	IPR005225	axl2	P38928	other	None	4
cdc42	P19073	other	None	bem1	P29366	other	None	11
cdc42	P19073	Small GTP-binding domain	IPR005225	bem1	P29366	other	None	23
cdc42	P19073	Small GTP-binding domain	IPR005225	bem1	P29366	SH3 domain	IPR001452	17
cdc42	P19073	Small GTP-binding domain	IPR005225	bem3	P32873	Rho GTPase-activating protein domain	IPR000198	19
cdc42	P19073	Small GTP-binding domain	IPR005225	bem3	P32873	Pleckstrin homology domain	IPR001849	1
cdc42	P19073	Small GTP-binding domain	IPR005225	bni1	P41832	Formin, FH3 domain	IPR010472	5
cdc42	P19073	Small GTP-binding domain	IPR005225	bni1	P41832	Formin, FH2 domain	IPR015425	3
cdc42	P19073	Small GTP-binding domain	IPR005225	bni1	P41832	Formin, GTPase-binding domain	IPR010473	32
cdc42	P19073	Small GTP-binding domain	IPR005225	cdc28	P00546	Protein kinase domain	IPR000719	6
cdc42	P19073	Small GTP-binding domain	IPR005225	cdc42	P19073	Small GTP-binding domain	IPR005225	10
cdc42	P19073	Small GTP-binding domain	IPR005225	cla4	P48562	CRIB domain	IPR000095	22
cdc42	P19073	other	None	cla4	P48562	Pleckstrin homology domain	IPR001849	2
cdc42	P19073	other	None	cla4	P48562	CRIB domain	IPR000095	5
cdc42	P19073	other	None	nrp1	P32770	Zinc finger, RanBP2-type	IPR001876	1
cdc42	P19073	Small GTP-binding domain	IPR005225	rga2	Q06407	other	None	16
cdc42	P19073	other	None	rga2	Q06407	Zinc finger, LIM-type	IPR001781	1
cdc42	P19073	Small GTP-binding domain	IPR005225	rga2	Q06407	Zinc finger, LIM-type	IPR001781	1
cdc42	P19073	Small GTP-binding domain	IPR005225	rga2	Q06407	Rho GTPase-activating protein domain	IPR000198	26
cdc42	P19073	other	None	rga2	Q06407	other	None	4
cdc42	P19073	Small GTP-binding domain	IPR005225	spa2	P23201	other	None	4
cdc42	P19073	Small GTP-binding domain	IPR005225	spa2	P23201	ARF GTPase-activating protein GIT1, C-terminal	IPR022018	4
cla4	P48562	other	None	axl2	P38928	Dystroglycan-type cadherin-like	IPR006644	4
cla4	P48562	Protein kinase domain	IPR000719	bem1	P29366	PB1 domain	IPR000270	4
cla4	P48562	Protein kinase domain	IPR000719	bem1	P29366	Phox homology	IPR001683	5
cla4	P48562	Pleckstrin homology domain	IPR001849	bem1	P29366	other	None	2
cla4	P48562	other	None	bem1	P29366	SH3 domain	IPR001452	4
cla4	P48562	other	None	bem1	P29366	other	None	3
cla4	P48562	other	None	bud1	P13856	Small GTP-binding domain	IPR005225	10
cla4	P48562	other	None	bud1	P13856	other	None	5
cla4	P48562	Protein kinase domain	IPR000719	cdc24	P11433	Calponin homology domain	IPR001715	3
cla4	P48562	CRIB domain	IPR000095	cla4	P48562	Protein kinase domain	IPR000719	1
cla4	P48562	Protein kinase domain	IPR000719	cla4	P48562	Pleckstrin homology domain	IPR001849	3
cla4	P48562	Pleckstrin homology domain	IPR001849	cla4	P48562	Protein kinase domain	IPR000719	3
nrp1	P32770	RNA recognition motif domain	IPR000504	axl2	P38928	Dystroglycan-type cadherin-like	IPR006644	19
nrp1	P32770	other	None	bem1	P29366	SH3 domain	IPR001452	8
nrp1	P32770	RNA recognition motif domain	IPR000504	bem1	P29366	SH3 domain	IPR001452	4
nrp1	P32770	Zinc finger, RanBP2-type	IPR001876	bem1	P29366	SH3 domain	IPR001452	6
nrp1	P32770	RNA recognition motif domain	IPR000504	bem1	P29366	Phox homology	IPR001683	3
nrp1	P32770	RNA recognition motif domain	IPR000504	bud1	P13856	Small GTP-binding domain	IPR005225	13
nrp1	P32770	RNA recognition motif domain	IPR000504	bud1	P13856	other	None	3
nrp1	P32770	RNA recognition motif domain	IPR000504	cdc24	P11433	other	None	1
nrp1	P32770	other	None	cdc28	P00546	Protein kinase domain	IPR000719	4
nrp1	P32770	RNA recognition motif domain	IPR000504	cdc28	P00546	Protein kinase domain	IPR000719	14
nrp1	P32770	Zinc finger, RanBP2-type	IPR001876	cdc28	P00546	Protein kinase domain	IPR000719	8
nrp1	P32770	RNA recognition motif domain	IPR000504	cla4	P48562	Pleckstrin homology domain	IPR001849	4
nrp1	P32770	RNA recognition motif domain	IPR000504	nrp1	P32770	RNA recognition motif domain	IPR000504	5
nrp1	P32770	RNA recognition motif domain	IPR000504	rga2	Q06407	Rho GTPase-activating protein domain	IPR000198	2
nrp1	P32770	other	None	rga2	Q06407	other	None	1
nrp1	P32770	RNA recognition motif domain	IPR000504	rga2	Q06407	other	None	2
rdi1	Q12434	Rho protein GDP-dissociation inhibitor	IPR000406	arp3	P47117	Actin family	IPR004000	12
rdi1	Q12434	Rho protein GDP-dissociation inhibitor	IPR000406	axl2	P38928	Dystroglycan-type cadherin-like	IPR006644	6
rdi1	Q12434	Rho protein GDP-dissociation inhibitor	IPR000406	bem1	P29366	SH3 domain	IPR001452	1
rdi1	Q12434	Rho protein GDP-dissociation inhibitor	IPR000406	bem3	P32873	other	None	1
rdi1	Q12434	Rho protein GDP-dissociation inhibitor	IPR000406	bni1	P41832	Formin, FH3 domain	IPR010472	4
rdi1	Q12434	Rho protein GDP-dissociation inhibitor	IPR000406	bni1	P41832	Formin, FH2 domain	IPR015425	2
rdi1	Q12434	Rho protein GDP-dissociation inhibitor	IPR000406	cdc24	P11433	Calponin homology domain	IPR001715	3
rdi1	Q12434	Rho protein GDP-dissociation inhibitor	IPR000406	cdc28	P00546	Protein kinase domain	IPR000719	5
rdi1	Q12434	Rho protein GDP-dissociation inhibitor	IPR000406	cdc42	P19073	Small GTP-binding domain	IPR005225	52
rdi1	Q12434	Rho protein GDP-dissociation inhibitor	IPR000406	cla4	P48562	Pleckstrin homology domain	IPR001849	13
rdi1	Q12434	Rho protein GDP-dissociation inhibitor	IPR000406	nrp1	P32770	RNA recognition motif domain	IPR000504	10
rdi1	Q12434	Rho protein GDP-dissociation inhibitor	IPR000406	nrp1	P32770	other	None	1
rdi1	Q12434	Rho protein GDP-dissociation inhibitor	IPR000406	rax1	Q08760	RGS domain	IPR016137	1
rdi1	Q12434	Rho protein GDP-dissociation inhibitor	IPR000406	rga2	Q06407	Rho GTPase-activating protein domain	IPR000198	5
rdi1	Q12434	Rho protein GDP-dissociation inhibitor	IPR000406	spa2	P23201	other	None	5
rdi1	Q12434	Rho protein GDP-dissociation inhibitor	IPR000406	ste5	P32917	other	None	1
rga2	Q06407	other	None	bud1	P13856	Small GTP-binding domain	IPR005225	15
rga2	Q06407	other	None	bud1	P13856	other	None	6
rga2	Q06407	Rho GTPase-activating protein domain	IPR000198	rga2	Q06407	Rho GTPase-activating protein domain	IPR000198	9
rga2	Q06407	Zinc finger, LIM-type	IPR001781	rga2	Q06407	Rho GTPase-activating protein domain	IPR000198	1
rga2	Q06407	Rho GTPase-activating protein domain	IPR000198	rga2	Q06407	Zinc finger, LIM-type	IPR001781	1
rho1	P06780	Small GTP-binding domain	IPR005225	arp3	P47117	Actin family	IPR004000	1
rho1	P06780	Small GTP-binding domain	IPR005225	axl2	P38928	Dystroglycan-type cadherin-like	IPR006644	13
rho1	P06780	other	None	axl2	P38928	Dystroglycan-type cadherin-like	IPR006644	2
rho1	P06780	Small GTP-binding domain	IPR005225	bem1	P29366	SH3 domain	IPR001452	8
rho1	P06780	Small GTP-binding domain	IPR005225	bem1	P29366	Phox homology	IPR001683	1
rho1	P06780	Small GTP-binding domain	IPR005225	bem3	P32873	Rho GTPase-activating protein domain	IPR000198	15
rho1	P06780	Small GTP-binding domain	IPR005225	bem3	P32873	Pleckstrin homology domain	IPR001849	6
rho1	P06780	Small GTP-binding domain	IPR005225	bni1	P41832	Formin, GTPase-binding domain	IPR010473	41
rho1	P06780	Small GTP-binding domain	IPR005225	bni1	P41832	Formin, FH3 domain	IPR010472	3
rho1	P06780	other	None	bni1	P41832	Formin, FH2 domain	IPR015425	2
rho1	P06780	Small GTP-binding domain	IPR005225	cdc24	P11433	other	None	8
rho1	P06780	Small GTP-binding domain	IPR005225	cdc24	P11433	Dbl homology (DH) domain	IPR000219	49
rho1	P06780	Small GTP-binding domain	IPR005225	cdc24	P11433	Pleckstrin homology domain	IPR001849	7
rho1	P06780	other	None	cla4	P48562	Pleckstrin homology domain	IPR001849	1
rho1	P06780	Small GTP-binding domain	IPR005225	cla4	P48562	CRIB domain	IPR000095	3
rho1	P06780	other	None	nrp1	P32770	Zinc finger, RanBP2-type	IPR001876	1
rho1	P06780	Small GTP-binding domain	IPR005225	rax1	Q08760	RGS domain	IPR016137	2
rho1	P06780	Small GTP-binding domain	IPR005225	rdi1	Q12434	Rho protein GDP-dissociation inhibitor	IPR000406	53
rho1	P06780	Small GTP-binding domain	IPR005225	rga2	Q06407	Rho GTPase-activating protein domain	IPR000198	25
spa2	P23201	ARF GTPase-activating protein GIT1, C-terminal	IPR022018	axl2	P38928	Dystroglycan-type cadherin-like	IPR006644	1
spa2	P23201	other	None	axl2	P38928	Dystroglycan-type cadherin-like	IPR006644	8
spa2	P23201	GIT, Spa2 homology (SHD) domain	IPR013724	bem3	P32873	Rho GTPase-activating protein domain	IPR000198	3
spa2	P23201	other	None	bem3	P32873	Rho GTPase-activating protein domain	IPR000198	3
spa2	P23201	ARF GTPase-activating protein GIT1, C-terminal	IPR022018	bem3	P32873	Phox homology	IPR001683	5
spa2	P23201	other	None	bni1	P41832	Formin, FH2 domain	IPR015425	3
spa2	P23201	GIT, Spa2 homology (SHD) domain	IPR013724	bni1	P41832	Formin, FH2 domain	IPR015425	1
spa2	P23201	ARF GTPase-activating protein GIT1, C-terminal	IPR022018	bni1	P41832	other	None	18
spa2	P23201	ARF GTPase-activating protein GIT1, C-terminal	IPR022018	bni1	P41832	Formin, FH2 domain	IPR015425	2
spa2	P23201	other	None	bud1	P13856	Small GTP-binding domain	IPR005225	7
spa2	P23201	ARF GTPase-activating protein GIT1, C-terminal	IPR022018	cdc24	P11433	other	None	4
spa2	P23201	GIT, Spa2 homology (SHD) domain	IPR013724	cdc28	P00546	Protein kinase domain	IPR000719	2
spa2	P23201	ARF GTPase-activating protein GIT1, C-terminal	IPR022018	cla4	P48562	Protein kinase domain	IPR000719	1
spa2	P23201	ARF GTPase-activating protein GIT1, C-terminal	IPR022018	nrp1	P32770	other	None	2
spa2	P23201	ARF GTPase-activating protein GIT1, C-terminal	IPR022018	nrp1	P32770	RNA recognition motif domain	IPR000504	3
ste5	P32917	Protein Ste5, Fus3-binding domain	IPR021106	rax1	Q08760	RGS domain	IPR016137	1
ste5	P32917	Protein Ste5, Fus3-binding domain	IPR021106	rax1	Q08760	other	None	3
