Domain1_Name	Domain1_Accession	Domain2_Name	Domain2_Accession	Count	Occurrences	Average_Interacting_Residues
Rho GTPase-activating protein domain	IPR000198	Zinc finger, RanBP2-type	IPR001876	24	2	12.0
Phox homology	IPR001683	Zinc finger, RanBP2-type	IPR001876	9	1	9.0
other	None	Zinc finger, LIM-type	IPR001781	31	5	6.2
Rho GTPase-activating protein domain	IPR000198	Zinc finger, LIM-type	IPR001781	29	3	9.666666666666666
Rho GTPase-activating protein domain	IPR000198	Rho GTPase-activating protein domain	IPR000198	48	2	24.0
Phox homology	IPR001683	Zinc finger, LIM-type	IPR001781	2	1	2.0
Pleckstrin homology domain	IPR001849	Protein Ste5, Fus3-binding domain	IPR021106	2	1	2.0
Formin, FH2 domain	IPR015425	other	None	57	11	5.181818181818182
Formin, FH2 domain	IPR015425	Dystroglycan-type cadherin-like	IPR006644	1	1	1.0
Formin, GTPase-binding domain	IPR010473	Dystroglycan-type cadherin-like	IPR006644	10	1	10.0
Formin, FH3 domain	IPR010472	SH3 domain	IPR001452	10	1	10.0
Formin, FH3 domain	IPR010472	other	None	12	4	3.0
Formin, FH3 domain	IPR010472	Phox homology	IPR001683	8	1	8.0
Formin, FH2 domain	IPR015425	Rho GTPase-activating protein domain	IPR000198	7	1	7.0
Formin, GTPase-binding domain	IPR010473	Rho GTPase-activating protein domain	IPR000198	5	1	5.0
Formin, FH2 domain	IPR015425	Phox homology	IPR001683	11	1	11.0
Formin, FH2 domain	IPR015425	Pleckstrin homology domain	IPR001849	18	2	9.0
Formin, GTPase-binding domain	IPR010473	Formin, FH2 domain	IPR015425	50	2	25.0
Diaphanous autoregulatory (DAD) domain	IPR014767	Formin, FH2 domain	IPR015425	16	2	8.0
Formin, FH2 domain	IPR015425	Formin, FH2 domain	IPR015425	188	1	188.0
Formin, GTPase-binding domain	IPR010473	other	None	10	3	3.3333333333333335
Formin, FH3 domain	IPR010472	Formin, FH2 domain	IPR015425	33	2	16.5
Formin, GTPase-binding domain	IPR010473	Small GTP-binding domain	IPR005225	115	3	38.333333333333336
Formin, FH3 domain	IPR010472	Small GTP-binding domain	IPR005225	19	3	6.333333333333333
Formin, FH2 domain	IPR015425	Dbl homology (DH) domain	IPR000219	22	1	22.0
Formin, FH3 domain	IPR010472	Calponin homology domain	IPR001715	16	1	16.0
Formin, GTPase-binding domain	IPR010473	PB1 domain	IPR000270	15	1	15.0
Diaphanous autoregulatory (DAD) domain	IPR014767	PB1 domain	IPR000270	1	1	1.0
Diaphanous autoregulatory (DAD) domain	IPR014767	Pleckstrin homology domain	IPR001849	26	1	26.0
Diaphanous autoregulatory (DAD) domain	IPR014767	other	None	2	2	1.0
other	None	Dbl homology (DH) domain	IPR000219	35	6	5.833333333333333
Formin, FH2 domain	IPR015425	Protein kinase domain	IPR000719	12	2	6.0
Formin, FH3 domain	IPR010472	Protein kinase domain	IPR000719	32	2	16.0
Formin, GTPase-binding domain	IPR010473	Protein kinase domain	IPR000719	2	1	2.0
Formin, FH2 domain	IPR015425	CRIB domain	IPR000095	7	1	7.0
other	None	CRIB domain	IPR000095	10	4	2.5
Formin, FH3 domain	IPR010472	RNA recognition motif domain	IPR000504	1	1	1.0
other	None	RNA recognition motif domain	IPR000504	56	8	7.0
other	None	Zinc finger, RanBP2-type	IPR001876	46	10	4.6
Formin, FH2 domain	IPR015425	Zinc finger, RanBP2-type	IPR001876	20	1	20.0
Formin, FH2 domain	IPR015425	RGS domain	IPR016137	7	1	7.0
Formin, FH2 domain	IPR015425	Protein Ste5, Fus3-binding domain	IPR021106	3	1	3.0
Small GTP-binding domain	IPR005225	Small GTP-binding domain	IPR005225	80	6	13.333333333333334
Small GTP-binding domain	IPR005225	RGS domain	IPR016137	41	3	13.666666666666666
Bud3, N-terminal	IPR021895	other	None	36	2	18.0
Bud3, N-terminal	IPR021895	Formin, FH2 domain	IPR015425	6	1	6.0
Dbl homology (DH) domain	IPR000219	Formin, FH3 domain	IPR010472	18	1	18.0
Dbl homology (DH) domain	IPR000219	Calponin homology domain	IPR001715	1	1	1.0
Dbl homology (DH) domain	IPR000219	Protein kinase domain	IPR000719	39	3	13.0
Dbl homology (DH) domain	IPR000219	Small GTP-binding domain	IPR005225	228	5	45.6
Bud3, N-terminal	IPR021895	Zinc finger, RanBP2-type	IPR001876	11	1	11.0
Dbl homology (DH) domain	IPR000219	Rho protein GDP-dissociation inhibitor	IPR000406	15	1	15.0
other	None	Rho protein GDP-dissociation inhibitor	IPR000406	68	7	9.714285714285714
Bud3, N-terminal	IPR021895	Rho GTPase-activating protein domain	IPR000198	24	1	24.0
other	None	ARF GTPase-activating protein GIT1, C-terminal	IPR022018	108	6	18.0
other	None	Protein Ste5, Fus3-binding domain	IPR021106	46	7	6.571428571428571
Dbl homology (DH) domain	IPR000219	SH3 domain	IPR001452	19	1	19.0
Pleckstrin homology domain	IPR001849	SH3 domain	IPR001452	3	2	1.5
PB1 domain	IPR000270	PB1 domain	IPR000270	27	1	27.0
PB1 domain	IPR000270	Phox homology	IPR001683	1	1	1.0
PB1 domain	IPR000270	Small GTP-binding domain	IPR005225	7	1	7.0
PB1 domain	IPR000270	other	None	38	6	6.333333333333333
Calponin homology domain	IPR001715	PB1 domain	IPR000270	6	2	3.0
Dbl homology (DH) domain	IPR000219	PB1 domain	IPR000270	15	2	7.5
Calponin homology domain	IPR001715	Pleckstrin homology domain	IPR001849	20	2	10.0
Dbl homology (DH) domain	IPR000219	Dbl homology (DH) domain	IPR000219	5	1	5.0
Calponin homology domain	IPR001715	Protein Ste5, Fus3-binding domain	IPR021106	16	1	16.0
Protein kinase domain	IPR000719	Dystroglycan-type cadherin-like	IPR006644	31	1	31.0
Protein kinase domain	IPR000719	SH3 domain	IPR001452	16	2	8.0
Protein kinase domain	IPR000719	PB1 domain	IPR000270	31	3	10.333333333333334
Protein kinase domain	IPR000719	Small GTP-binding domain	IPR005225	61	6	10.166666666666666
Protein kinase domain	IPR000719	Pleckstrin homology domain	IPR001849	44	4	11.0
Protein kinase domain	IPR000719	Protein kinase domain	IPR000719	63	2	31.5
Protein kinase domain	IPR000719	RGS domain	IPR016137	8	2	4.0
Protein kinase domain	IPR000719	Zinc finger, LIM-type	IPR001781	10	2	5.0
Protein kinase domain	IPR000719	Rho GTPase-activating protein domain	IPR000198	22	2	11.0
Small GTP-binding domain	IPR005225	Formin, FH2 domain	IPR015425	12	2	6.0
Small GTP-binding domain	IPR005225	CRIB domain	IPR000095	105	3	35.0
Small GTP-binding domain	IPR005225	RNA recognition motif domain	IPR000504	29	3	9.666666666666666
Small GTP-binding domain	IPR005225	Zinc finger, RanBP2-type	IPR001876	31	3	10.333333333333334
Small GTP-binding domain	IPR005225	Zinc finger, LIM-type	IPR001781	23	2	11.5
Small GTP-binding domain	IPR005225	ARF GTPase-activating protein GIT1, C-terminal	IPR022018	45	3	15.0
Small GTP-binding domain	IPR005225	Protein Ste5, Fus3-binding domain	IPR021106	4	1	4.0
Protein kinase domain	IPR000719	Calponin homology domain	IPR001715	8	1	8.0
CRIB domain	IPR000095	Calponin homology domain	IPR001715	4	1	4.0
CRIB domain	IPR000095	Dbl homology (DH) domain	IPR000219	3	1	3.0
Protein kinase domain	IPR000719	CRIB domain	IPR000095	23	2	11.5
CRIB domain	IPR000095	RGS domain	IPR016137	3	1	3.0
Pleckstrin homology domain	IPR001849	RGS domain	IPR016137	10	1	10.0
CRIB domain	IPR000095	Rho GTPase-activating protein domain	IPR000198	13	1	13.0
Protein kinase domain	IPR000719	Protein Ste5, Fus3-binding domain	IPR021106	1	1	1.0
RNA recognition motif domain	IPR000504	Dystroglycan-type cadherin-like	IPR006644	22	1	22.0
Zinc finger, RanBP2-type	IPR001876	Dystroglycan-type cadherin-like	IPR006644	16	1	16.0
RNA recognition motif domain	IPR000504	SH3 domain	IPR001452	9	1	9.0
Zinc finger, RanBP2-type	IPR001876	SH3 domain	IPR001452	15	1	15.0
RNA recognition motif domain	IPR000504	Phox homology	IPR001683	12	1	12.0
Zinc finger, RanBP2-type	IPR001876	Calponin homology domain	IPR001715	3	1	3.0
RNA recognition motif domain	IPR000504	Calponin homology domain	IPR001715	6	1	6.0
RNA recognition motif domain	IPR000504	Dbl homology (DH) domain	IPR000219	5	1	5.0
RNA recognition motif domain	IPR000504	Protein kinase domain	IPR000719	28	2	14.0
Zinc finger, RanBP2-type	IPR001876	Protein kinase domain	IPR000719	46	2	23.0
Zinc finger, RanBP2-type	IPR001876	CRIB domain	IPR000095	4	1	4.0
RNA recognition motif domain	IPR000504	Pleckstrin homology domain	IPR001849	8	1	8.0
RNA recognition motif domain	IPR000504	RNA recognition motif domain	IPR000504	15	1	15.0
RNA recognition motif domain	IPR000504	Zinc finger, RanBP2-type	IPR001876	11	2	5.5
Zinc finger, RanBP2-type	IPR001876	Zinc finger, RanBP2-type	IPR001876	33	1	33.0
Zinc finger, RanBP2-type	IPR001876	RGS domain	IPR016137	42	1	42.0
RNA recognition motif domain	IPR000504	Protein Ste5, Fus3-binding domain	IPR021106	6	1	6.0
RGS domain	IPR016137	Phox homology	IPR001683	9	1	9.0
RGS domain	IPR016137	SH3 domain	IPR001452	4	1	4.0
RGS domain	IPR016137	Calponin homology domain	IPR001715	3	1	3.0
RGS domain	IPR016137	RGS domain	IPR016137	13	1	13.0
Rho protein GDP-dissociation inhibitor	IPR000406	Actin family	IPR004000	45	3	15.0
Rho protein GDP-dissociation inhibitor	IPR000406	Dystroglycan-type cadherin-like	IPR006644	15	1	15.0
Rho protein GDP-dissociation inhibitor	IPR000406	SH3 domain	IPR001452	6	1	6.0
Rho protein GDP-dissociation inhibitor	IPR000406	Phox homology	IPR001683	20	2	10.0
Rho protein GDP-dissociation inhibitor	IPR000406	Formin, FH3 domain	IPR010472	11	1	11.0
Rho protein GDP-dissociation inhibitor	IPR000406	Formin, FH2 domain	IPR015425	9	1	9.0
Rho protein GDP-dissociation inhibitor	IPR000406	Calponin homology domain	IPR001715	11	1	11.0
Rho protein GDP-dissociation inhibitor	IPR000406	Protein kinase domain	IPR000719	24	2	12.0
Rho protein GDP-dissociation inhibitor	IPR000406	Small GTP-binding domain	IPR005225	109	2	54.5
Rho protein GDP-dissociation inhibitor	IPR000406	Pleckstrin homology domain	IPR001849	38	1	38.0
Rho protein GDP-dissociation inhibitor	IPR000406	RNA recognition motif domain	IPR000504	20	1	20.0
Rho protein GDP-dissociation inhibitor	IPR000406	Zinc finger, RanBP2-type	IPR001876	7	1	7.0
Rho protein GDP-dissociation inhibitor	IPR000406	RGS domain	IPR016137	18	1	18.0
Rho protein GDP-dissociation inhibitor	IPR000406	Rho protein GDP-dissociation inhibitor	IPR000406	4	1	4.0
Rho protein GDP-dissociation inhibitor	IPR000406	Zinc finger, LIM-type	IPR001781	2	1	2.0
Rho protein GDP-dissociation inhibitor	IPR000406	Rho GTPase-activating protein domain	IPR000198	14	1	14.0
Rho protein GDP-dissociation inhibitor	IPR000406	GIT, Spa2 homology (SHD) domain	IPR013724	1	1	1.0
ARF GTPase-activating protein GIT1, C-terminal	IPR022018	Dystroglycan-type cadherin-like	IPR006644	5	1	5.0
GIT, Spa2 homology (SHD) domain	IPR013724	Dystroglycan-type cadherin-like	IPR006644	1	1	1.0
ARF GTPase-activating protein GIT1, C-terminal	IPR022018	SH3 domain	IPR001452	1	1	1.0
GIT, Spa2 homology (SHD) domain	IPR013724	Rho GTPase-activating protein domain	IPR000198	10	2	5.0
GIT, Spa2 homology (SHD) domain	IPR013724	Pleckstrin homology domain	IPR001849	5	2	2.5
ARF GTPase-activating protein GIT1, C-terminal	IPR022018	Phox homology	IPR001683	10	1	10.0
GIT, Spa2 homology (SHD) domain	IPR013724	other	None	88	8	11.0
GIT, Spa2 homology (SHD) domain	IPR013724	Formin, FH2 domain	IPR015425	3	1	3.0
ARF GTPase-activating protein GIT1, C-terminal	IPR022018	Formin, FH2 domain	IPR015425	4	1	4.0
GIT, Spa2 homology (SHD) domain	IPR013724	Small GTP-binding domain	IPR005225	2	1	2.0
ARF GTPase-activating protein GIT1, C-terminal	IPR022018	Calponin homology domain	IPR001715	2	1	2.0
GIT, Spa2 homology (SHD) domain	IPR013724	PB1 domain	IPR000270	9	1	9.0
GIT, Spa2 homology (SHD) domain	IPR013724	Protein kinase domain	IPR000719	9	1	9.0
ARF GTPase-activating protein GIT1, C-terminal	IPR022018	Pleckstrin homology domain	IPR001849	1	1	1.0
ARF GTPase-activating protein GIT1, C-terminal	IPR022018	CRIB domain	IPR000095	1	1	1.0
ARF GTPase-activating protein GIT1, C-terminal	IPR022018	Protein kinase domain	IPR000719	17	1	17.0
ARF GTPase-activating protein GIT1, C-terminal	IPR022018	RNA recognition motif domain	IPR000504	14	1	14.0
ARF GTPase-activating protein GIT1, C-terminal	IPR022018	Zinc finger, RanBP2-type	IPR001876	1	1	1.0
ARF GTPase-activating protein GIT1, C-terminal	IPR022018	RGS domain	IPR016137	9	1	9.0
GIT, Spa2 homology (SHD) domain	IPR013724	GIT, Spa2 homology (SHD) domain	IPR013724	26	1	26.0
GIT, Spa2 homology (SHD) domain	IPR013724	Protein Ste5, Fus3-binding domain	IPR021106	8	1	8.0
ARF GTPase-activating protein GIT1, C-terminal	IPR022018	Protein Ste5, Fus3-binding domain	IPR021106	2	1	2.0
Protein Ste5, Fus3-binding domain	IPR021106	Dystroglycan-type cadherin-like	IPR006644	3	1	3.0
Protein Ste5, Fus3-binding domain	IPR021106	RGS domain	IPR016137	4	1	4.0
Protein Ste5, Fus3-binding domain	IPR021106	Ste5_Fus-binding	IPR021651	0	1	0.0
