Protein1	Protein1_Accession	Domain1_Name	Domain1_Accession	Protein2	Protein2_Accession	Domain2_Name	Domain2_Accession	Count
axl2	P38928	Dystroglycan-type cadherin-like	IPR006644	rga2	Q06407	Rho GTPase-activating protein domain	IPR000198	8
axl2	P38928	Dystroglycan-type cadherin-like	IPR006644	rga2	Q06407	other	None	1
axl2	P38928	other	None	rga2	Q06407	Rho GTPase-activating protein domain	IPR000198	4
bem1	P29366	SH3 domain	IPR001452	bem1	P29366	SH3 domain	IPR001452	37
bem1	P29366	Phox homology	IPR001683	bem1	P29366	SH3 domain	IPR001452	11
bem1	P29366	Phox homology	IPR001683	bem1	P29366	other	None	4
bem1	P29366	SH3 domain	IPR001452	bem1	P29366	other	None	1
bem1	P29366	SH3 domain	IPR001452	bem1	P29366	Phox homology	IPR001683	13
bem1	P29366	other	None	bem1	P29366	Phox homology	IPR001683	4
bem1	P29366	other	None	bem1	P29366	SH3 domain	IPR001452	1
bem1	P29366	SH3 domain	IPR001452	bud1	P13856	Small GTP-binding domain	IPR005225	12
bem1	P29366	Phox homology	IPR001683	bud1	P13856	Small GTP-binding domain	IPR005225	11
bem1	P29366	Phox homology	IPR001683	bud1	P13856	other	None	11
bem1	P29366	Phox homology	IPR001683	rga2	Q06407	other	None	4
bem1	P29366	SH3 domain	IPR001452	rga2	Q06407	other	None	5
bem1	P29366	SH3 domain	IPR001452	rga2	Q06407	Rho GTPase-activating protein domain	IPR000198	8
bem1	P29366	other	None	rga2	Q06407	Rho GTPase-activating protein domain	IPR000198	6
bem1	P29366	PB1 domain	IPR000270	rga2	Q06407	Rho GTPase-activating protein domain	IPR000198	16
bem1	P29366	SH3 domain	IPR001452	ste5	P32917	other	None	14
bem1	P29366	Phox homology	IPR001683	ste5	P32917	other	None	15
bem1	P29366	PB1 domain	IPR000270	ste5	P32917	Protein Ste5, Fus3-binding domain	IPR021106	4
bem3	P32873	Rho GTPase-activating protein domain	IPR000198	axl2	P38928	other	None	9
bem3	P32873	Rho GTPase-activating protein domain	IPR000198	axl2	P38928	Dystroglycan-type cadherin-like	IPR006644	6
bem3	P32873	other	None	axl2	P38928	Dystroglycan-type cadherin-like	IPR006644	9
bem3	P32873	other	None	axl2	P38928	other	None	3
bem3	P32873	Phox homology	IPR001683	axl2	P38928	Dystroglycan-type cadherin-like	IPR006644	3
bem3	P32873	other	None	bem1	P29366	SH3 domain	IPR001452	30
bem3	P32873	other	None	bem1	P29366	other	None	6
bem3	P32873	Phox homology	IPR001683	bem1	P29366	SH3 domain	IPR001452	6
bem3	P32873	Rho GTPase-activating protein domain	IPR000198	bem1	P29366	other	None	3
bem3	P32873	Phox homology	IPR001683	bem1	P29366	other	None	1
bem3	P32873	Rho GTPase-activating protein domain	IPR000198	bem1	P29366	SH3 domain	IPR001452	3
bem3	P32873	Pleckstrin homology domain	IPR001849	bem1	P29366	other	None	2
bem3	P32873	Phox homology	IPR001683	bem1	P29366	Phox homology	IPR001683	1
bem3	P32873	Rho GTPase-activating protein domain	IPR000198	bem3	P32873	other	None	3
bem3	P32873	other	None	bem3	P32873	other	None	20
bem3	P32873	other	None	bem3	P32873	Rho GTPase-activating protein domain	IPR000198	6
bem3	P32873	other	None	bem3	P32873	Phox homology	IPR001683	2
bem3	P32873	Phox homology	IPR001683	bem3	P32873	other	None	1
bem3	P32873	Pleckstrin homology domain	IPR001849	bud1	P13856	Small GTP-binding domain	IPR005225	12
bem3	P32873	Phox homology	IPR001683	bud1	P13856	Small GTP-binding domain	IPR005225	3
bem3	P32873	Pleckstrin homology domain	IPR001849	bud1	P13856	other	None	2
bem3	P32873	Rho GTPase-activating protein domain	IPR000198	bud1	P13856	Small GTP-binding domain	IPR005225	6
bem3	P32873	Pleckstrin homology domain	IPR001849	cdc24	P11433	Dbl homology (DH) domain	IPR000219	4
bem3	P32873	Rho GTPase-activating protein domain	IPR000198	cdc24	P11433	other	None	2
bem3	P32873	Pleckstrin homology domain	IPR001849	cdc24	P11433	PB1 domain	IPR000270	5
bem3	P32873	Phox homology	IPR001683	cdc24	P11433	Calponin homology domain	IPR001715	18
bem3	P32873	Phox homology	IPR001683	cdc24	P11433	Dbl homology (DH) domain	IPR000219	1
bem3	P32873	Rho GTPase-activating protein domain	IPR000198	cdc24	P11433	Dbl homology (DH) domain	IPR000219	5
bem3	P32873	Rho GTPase-activating protein domain	IPR000198	cdc24	P11433	Pleckstrin homology domain	IPR001849	7
bem3	P32873	other	None	cdc24	P11433	Calponin homology domain	IPR001715	1
bem3	P32873	Phox homology	IPR001683	cdc28	P00546	Protein kinase domain	IPR000719	26
bem3	P32873	other	None	cdc28	P00546	Protein kinase domain	IPR000719	11
bem3	P32873	other	None	cla4	P48562	Protein kinase domain	IPR000719	15
bem3	P32873	Rho GTPase-activating protein domain	IPR000198	nrp1	P32770	RNA recognition motif domain	IPR000504	13
bem3	P32873	Rho GTPase-activating protein domain	IPR000198	nrp1	P32770	other	None	2
bem3	P32873	Rho GTPase-activating protein domain	IPR000198	nrp1	P32770	Zinc finger, RanBP2-type	IPR001876	5
bem3	P32873	Phox homology	IPR001683	nrp1	P32770	Zinc finger, RanBP2-type	IPR001876	9
bem3	P32873	other	None	rax1	Q08760	RGS domain	IPR016137	29
bem3	P32873	other	None	rax1	Q08760	other	None	3
bem3	P32873	other	None	rga2	Q06407	other	None	23
bem3	P32873	other	None	rga2	Q06407	Zinc finger, LIM-type	IPR001781	5
bem3	P32873	Rho GTPase-activating protein domain	IPR000198	rga2	Q06407	Zinc finger, LIM-type	IPR001781	12
bem3	P32873	Rho GTPase-activating protein domain	IPR000198	rga2	Q06407	Rho GTPase-activating protein domain	IPR000198	13
bem3	P32873	Phox homology	IPR001683	rga2	Q06407	Zinc finger, LIM-type	IPR001781	2
bem3	P32873	Phox homology	IPR001683	ste5	P32917	other	None	1
bem3	P32873	other	None	ste5	P32917	other	None	9
bem3	P32873	Pleckstrin homology domain	IPR001849	ste5	P32917	Protein Ste5, Fus3-binding domain	IPR021106	2
bem3	P32873	Rho GTPase-activating protein domain	IPR000198	ste5	P32917	other	None	31
bni1	P41832	Formin, FH2 domain	IPR015425	axl2	P38928	other	None	2
bni1	P41832	Formin, FH2 domain	IPR015425	axl2	P38928	Dystroglycan-type cadherin-like	IPR006644	1
bni1	P41832	Formin, GTPase-binding domain	IPR010473	axl2	P38928	Dystroglycan-type cadherin-like	IPR006644	10
bni1	P41832	other	None	axl2	P38928	Dystroglycan-type cadherin-like	IPR006644	2
bni1	P41832	Formin, FH3 domain	IPR010472	bem1	P29366	SH3 domain	IPR001452	10
bni1	P41832	other	None	bem1	P29366	SH3 domain	IPR001452	7
bni1	P41832	Formin, FH2 domain	IPR015425	bem1	P29366	other	None	1
bni1	P41832	Formin, FH3 domain	IPR010472	bem1	P29366	other	None	1
bni1	P41832	Formin, FH3 domain	IPR010472	bem1	P29366	Phox homology	IPR001683	8
bni1	P41832	Formin, FH3 domain	IPR010472	bem3	P32873	other	None	9
bni1	P41832	other	None	bem3	P32873	other	None	30
bni1	P41832	Formin, FH2 domain	IPR015425	bem3	P32873	Rho GTPase-activating protein domain	IPR000198	7
bni1	P41832	other	None	bem3	P32873	Rho GTPase-activating protein domain	IPR000198	4
bni1	P41832	Formin, FH2 domain	IPR015425	bem3	P32873	other	None	7
bni1	P41832	Formin, GTPase-binding domain	IPR010473	bem3	P32873	Rho GTPase-activating protein domain	IPR000198	5
bni1	P41832	Formin, FH2 domain	IPR015425	bem3	P32873	Phox homology	IPR001683	11
bni1	P41832	Formin, FH2 domain	IPR015425	bem3	P32873	Pleckstrin homology domain	IPR001849	3
bni1	P41832	Formin, GTPase-binding domain	IPR010473	bni1	P41832	Formin, FH2 domain	IPR015425	26
bni1	P41832	Diaphanous autoregulatory (DAD) domain	IPR014767	bni1	P41832	Formin, FH2 domain	IPR015425	8
bni1	P41832	Formin, FH2 domain	IPR015425	bni1	P41832	Formin, FH2 domain	IPR015425	188
bni1	P41832	Formin, GTPase-binding domain	IPR010473	bni1	P41832	other	None	2
bni1	P41832	other	None	bni1	P41832	other	None	143
bni1	P41832	Formin, FH3 domain	IPR010472	bni1	P41832	Formin, FH2 domain	IPR015425	16
bni1	P41832	other	None	bni1	P41832	Formin, FH2 domain	IPR015425	3
bni1	P41832	Formin, FH2 domain	IPR015425	bni1	P41832	Formin, GTPase-binding domain	IPR010473	24
bni1	P41832	Formin, FH2 domain	IPR015425	bni1	P41832	other	None	3
bni1	P41832	Formin, FH2 domain	IPR015425	bni1	P41832	Diaphanous autoregulatory (DAD) domain	IPR014767	8
bni1	P41832	Formin, FH2 domain	IPR015425	bni1	P41832	Formin, FH3 domain	IPR010472	17
bni1	P41832	other	None	bni1	P41832	Formin, GTPase-binding domain	IPR010473	1
bni1	P41832	Formin, GTPase-binding domain	IPR010473	bud1	P13856	Small GTP-binding domain	IPR005225	17
bni1	P41832	Formin, FH3 domain	IPR010472	bud1	P13856	Small GTP-binding domain	IPR005225	5
bni1	P41832	other	None	bud1	P13856	Small GTP-binding domain	IPR005225	3
bni1	P41832	Formin, FH2 domain	IPR015425	cdc24	P11433	Dbl homology (DH) domain	IPR000219	22
bni1	P41832	Formin, FH3 domain	IPR010472	cdc24	P11433	Calponin homology domain	IPR001715	16
bni1	P41832	other	None	cdc24	P11433	Calponin homology domain	IPR001715	7
bni1	P41832	other	None	cdc24	P11433	other	None	6
bni1	P41832	Formin, GTPase-binding domain	IPR010473	cdc24	P11433	other	None	7
bni1	P41832	Formin, GTPase-binding domain	IPR010473	cdc24	P11433	PB1 domain	IPR000270	15
bni1	P41832	Diaphanous autoregulatory (DAD) domain	IPR014767	cdc24	P11433	PB1 domain	IPR000270	1
bni1	P41832	Diaphanous autoregulatory (DAD) domain	IPR014767	cdc24	P11433	Pleckstrin homology domain	IPR001849	26
bni1	P41832	Diaphanous autoregulatory (DAD) domain	IPR014767	cdc24	P11433	other	None	1
bni1	P41832	Formin, FH2 domain	IPR015425	cdc24	P11433	Pleckstrin homology domain	IPR001849	15
bni1	P41832	other	None	cdc24	P11433	Dbl homology (DH) domain	IPR000219	11
bni1	P41832	Formin, FH2 domain	IPR015425	cdc24	P11433	other	None	7
bni1	P41832	Formin, FH2 domain	IPR015425	cdc28	P00546	Protein kinase domain	IPR000719	11
bni1	P41832	Formin, FH3 domain	IPR010472	cdc28	P00546	Protein kinase domain	IPR000719	8
bni1	P41832	Formin, GTPase-binding domain	IPR010473	cdc28	P00546	Protein kinase domain	IPR000719	2
bni1	P41832	Formin, FH3 domain	IPR010472	cla4	P48562	Protein kinase domain	IPR000719	24
bni1	P41832	Formin, FH2 domain	IPR015425	cla4	P48562	CRIB domain	IPR000095	7
bni1	P41832	Formin, FH2 domain	IPR015425	cla4	P48562	Protein kinase domain	IPR000719	1
bni1	P41832	Formin, FH3 domain	IPR010472	cla4	P48562	other	None	1
bni1	P41832	other	None	cla4	P48562	CRIB domain	IPR000095	2
bni1	P41832	Formin, FH3 domain	IPR010472	nrp1	P32770	RNA recognition motif domain	IPR000504	1
bni1	P41832	other	None	nrp1	P32770	other	None	17
bni1	P41832	other	None	nrp1	P32770	RNA recognition motif domain	IPR000504	2
bni1	P41832	other	None	nrp1	P32770	Zinc finger, RanBP2-type	IPR001876	2
bni1	P41832	Formin, FH2 domain	IPR015425	nrp1	P32770	Zinc finger, RanBP2-type	IPR001876	20
bni1	P41832	other	None	rax1	Q08760	RGS domain	IPR016137	23
bni1	P41832	Formin, FH2 domain	IPR015425	rax1	Q08760	RGS domain	IPR016137	7
bni1	P41832	other	None	rga2	Q06407	other	None	50
bni1	P41832	Formin, FH2 domain	IPR015425	rga2	Q06407	other	None	4
bni1	P41832	Formin, FH2 domain	IPR015425	ste5	P32917	other	None	13
bni1	P41832	Diaphanous autoregulatory (DAD) domain	IPR014767	ste5	P32917	other	None	1
bni1	P41832	Formin, FH3 domain	IPR010472	ste5	P32917	other	None	1
bni1	P41832	Formin, FH2 domain	IPR015425	ste5	P32917	Protein Ste5, Fus3-binding domain	IPR021106	3
bud1	P13856	Small GTP-binding domain	IPR005225	bud1	P13856	Small GTP-binding domain	IPR005225	29
bud1	P13856	Small GTP-binding domain	IPR005225	rax1	Q08760	RGS domain	IPR016137	15
bud3	P25558	other	None	act1	P60010	Actin family	IPR004000	13
bud3	P25558	other	None	arp2	P32381	Actin family	IPR004000	8
bud3	P25558	Dbl homology (DH) domain	IPR000219	arp2	P32381	Actin family	IPR004000	7
bud3	P25558	other	None	arp3	P47117	Actin family	IPR004000	11
bud3	P25558	other	None	axl2	P38928	Dystroglycan-type cadherin-like	IPR006644	3
bud3	P25558	Bud3, N-terminal	IPR021895	axl2	P38928	other	None	23
bud3	P25558	other	None	bem1	P29366	Phox homology	IPR001683	2
bud3	P25558	other	None	bem1	P29366	other	None	9
bud3	P25558	other	None	bem1	P29366	SH3 domain	IPR001452	3
bud3	P25558	Dbl homology (DH) domain	IPR000219	bem3	P32873	Rho GTPase-activating protein domain	IPR000198	13
bud3	P25558	other	None	bem3	P32873	Pleckstrin homology domain	IPR001849	15
bud3	P25558	Bud3, N-terminal	IPR021895	bni1	P41832	Formin, FH2 domain	IPR015425	6
bud3	P25558	Dbl homology (DH) domain	IPR000219	bni1	P41832	Formin, FH3 domain	IPR010472	18
bud3	P25558	Dbl homology (DH) domain	IPR000219	bni1	P41832	other	None	3
bud3	P25558	other	None	bni1	P41832	other	None	3
bud3	P25558	other	None	bud1	P13856	Small GTP-binding domain	IPR005225	7
bud3	P25558	other	None	bud3	P25558	other	None	1
bud3	P25558	Dbl homology (DH) domain	IPR000219	cdc24	P11433	Calponin homology domain	IPR001715	1
bud3	P25558	other	None	cdc24	P11433	other	None	5
bud3	P25558	other	None	cdc28	P00546	Protein kinase domain	IPR000719	35
bud3	P25558	Dbl homology (DH) domain	IPR000219	cdc28	P00546	Protein kinase domain	IPR000719	21
bud3	P25558	Dbl homology (DH) domain	IPR000219	cdc42	P19073	Small GTP-binding domain	IPR005225	50
bud3	P25558	other	None	cdc42	P19073	Small GTP-binding domain	IPR005225	3
bud3	P25558	Dbl homology (DH) domain	IPR000219	cla4	P48562	Protein kinase domain	IPR000719	3
bud3	P25558	other	None	cla4	P48562	Protein kinase domain	IPR000719	17
bud3	P25558	other	None	nrp1	P32770	Zinc finger, RanBP2-type	IPR001876	4
bud3	P25558	Bud3, N-terminal	IPR021895	nrp1	P32770	Zinc finger, RanBP2-type	IPR001876	11
bud3	P25558	other	None	nrp1	P32770	RNA recognition motif domain	IPR000504	6
bud3	P25558	other	None	nrp1	P32770	other	None	19
bud3	P25558	Dbl homology (DH) domain	IPR000219	rax1	Q08760	other	None	5
bud3	P25558	Dbl homology (DH) domain	IPR000219	rdi1	Q12434	Rho protein GDP-dissociation inhibitor	IPR000406	15
bud3	P25558	other	None	rdi1	Q12434	Rho protein GDP-dissociation inhibitor	IPR000406	2
bud3	P25558	other	None	rga2	Q06407	Zinc finger, LIM-type	IPR001781	5
bud3	P25558	Bud3, N-terminal	IPR021895	rga2	Q06407	Rho GTPase-activating protein domain	IPR000198	24
bud3	P25558	other	None	rho1	P06780	Small GTP-binding domain	IPR005225	6
bud3	P25558	Dbl homology (DH) domain	IPR000219	rho1	P06780	Small GTP-binding domain	IPR005225	38
bud3	P25558	Bud3, N-terminal	IPR021895	spa2	P23201	other	None	13
bud3	P25558	other	None	spa2	P23201	other	None	7
bud3	P25558	other	None	spa2	P23201	ARF GTPase-activating protein GIT1, C-terminal	IPR022018	3
bud3	P25558	other	None	ste5	P32917	Protein Ste5, Fus3-binding domain	IPR021106	6
bud3	P25558	other	None	ste5	P32917	other	None	12
cdc24	P11433	other	None	bem1	P29366	other	None	2
cdc24	P11433	Dbl homology (DH) domain	IPR000219	bem1	P29366	SH3 domain	IPR001452	19
cdc24	P11433	Pleckstrin homology domain	IPR001849	bem1	P29366	SH3 domain	IPR001452	1
cdc24	P11433	other	None	bem1	P29366	SH3 domain	IPR001452	3
cdc24	P11433	Calponin homology domain	IPR001715	bem1	P29366	other	None	2
cdc24	P11433	PB1 domain	IPR000270	bem1	P29366	PB1 domain	IPR000270	27
cdc24	P11433	Calponin homology domain	IPR001715	bem1	P29366	Phox homology	IPR001683	6
cdc24	P11433	other	None	bem1	P29366	Phox homology	IPR001683	1
cdc24	P11433	PB1 domain	IPR000270	bem1	P29366	Phox homology	IPR001683	1
cdc24	P11433	Dbl homology (DH) domain	IPR000219	bud1	P13856	Small GTP-binding domain	IPR005225	36
cdc24	P11433	PB1 domain	IPR000270	bud1	P13856	Small GTP-binding domain	IPR005225	7
cdc24	P11433	other	None	bud1	P13856	Small GTP-binding domain	IPR005225	16
cdc24	P11433	PB1 domain	IPR000270	bud1	P13856	other	None	1
cdc24	P11433	Pleckstrin homology domain	IPR001849	bud1	P13856	Small GTP-binding domain	IPR005225	1
cdc24	P11433	other	None	bud1	P13856	other	None	3
cdc24	P11433	Calponin homology domain	IPR001715	cdc24	P11433	PB1 domain	IPR000270	3
cdc24	P11433	other	None	cdc24	P11433	PB1 domain	IPR000270	10
cdc24	P11433	Dbl homology (DH) domain	IPR000219	cdc24	P11433	PB1 domain	IPR000270	7
cdc24	P11433	other	None	cdc24	P11433	other	None	8
cdc24	P11433	Calponin homology domain	IPR001715	cdc24	P11433	other	None	7
cdc24	P11433	PB1 domain	IPR000270	cdc24	P11433	other	None	10
cdc24	P11433	Calponin homology domain	IPR001715	cdc24	P11433	Pleckstrin homology domain	IPR001849	11
cdc24	P11433	Dbl homology (DH) domain	IPR000219	cdc24	P11433	Pleckstrin homology domain	IPR001849	3
cdc24	P11433	Dbl homology (DH) domain	IPR000219	cdc24	P11433	other	None	7
cdc24	P11433	other	None	cdc24	P11433	Calponin homology domain	IPR001715	7
cdc24	P11433	Pleckstrin homology domain	IPR001849	cdc24	P11433	Calponin homology domain	IPR001715	9
