Protein1	Protein2	Num Interactions AF2	Num Interactions AF3	Percentage Overlap	iPTM_AF2	PTM_AF2	iPTM_AF3	PTM_AF3
Bud1	Bud1	12	8	37.5	0.21	0.43	0.26	0.42
Bud1	Rax1	0	0	0.0	0.2	0.55	0.21	0.47
Bud3	Bud1	7	0	0.0	0.52	0.48	0.28	0.41
Bud3	Cdc42	51	47	0.0	0.92	0.49	0.91	0.5
Bud3	Rdi1	0	3	0.0	0.53	0.45	0.44	0.45
Bud3	Rho1	47	21	80.95238095238095	0.82	0.45	0.82	0.5
Cdc24	Bem1	30	25	84.0	0.34	0.46	0.29	0.43
Cdc24	Bud1	30	10	90.0	0.61	0.61	0.53	0.57
Cdc24	Cdc24	10	17	0.0	0.25	0.45	0.23	0.39
Cdc24	Cdc42	70	69	0.0	0.92	0.68	0.89	0.68
Cdc24	Rga2	9	11	0.0	0.5	0.47	0.4	0.39
Cdc24	Ste5	4	1	0.0	0.49	0.53	0.22	0.39
Cdc28	Axl2	5	8	0.0	0.31	0.42	0.28	0.38
Cdc28	Bem1	17	13	0.0	0.6	0.46	0.34	0.44
Cdc28	Bud1	19	0	0.0	0.65	0.71	0.11	0.51
Cdc28	Cdc24	25	6	0.0	0.23	0.45	0.29	0.46
Cdc28	Cdc28	2	31	0.0	0.26	0.57	0.14	0.52
Cdc28	Rax1	0	0	0.0	0.41	0.63	0.14	0.42
Cdc28	Rga2	12	8	0.0	0.56	0.39	0.22	0.32
Cdc28	Ste5	25	6	0.0	0.77	0.54	0.2	0.41
Cdc42	Arp2	0	0	0.0	0.21	0.66	0.11	0.59
Cdc42	Arp3	32	0	0.0	0.84	0.83	0.23	0.63
Cdc42	Axl2	17	7	71.42857142857143	0.75	0.45	0.7	0.41
Cdc42	Bem1	69	51	90.19607843137256	0.86	0.48	0.81	0.46
Cdc42	Bem3	55	20	95.0	0.92	0.48	0.71	0.37
Cdc42	Bud1	24	0	0.0	0.71	0.68	0.22	0.44
Cdc42	Cdc28	11	6	0.0	0.51	0.71	0.39	0.64
Cdc42	Cdc42	3	10	0.0	0.16	0.52	0.43	0.64
Cdc42	Cla4	47	29	86.20689655172413	0.8	0.53	0.76	0.39
Cdc42	Nrp1	1	1	0.0	0.45	0.49	0.24	0.42
Cdc42	Rax1	19	0	0.0	0.7	0.76	0.32	0.52
Cdc42	Rga2	48	48	52.083333333333336	0.92	0.46	0.8	0.41
Cdc42	Spa2	6	8	0.0	0.41	0.28	0.27	0.25
Cdc42	Ste5	18	0	0.0	0.74	0.53	0.28	0.43
Cla4	Axl2	4	4	0.0	0.34	0.36	0.21	0.34
Cla4	Bem1	8	18	0.0	0.3	0.38	0.34	0.37
Cla4	Bud1	1	15	0.0	0.25	0.41	0.58	0.36
Cla4	Cdc24	8	3	0.0	0.33	0.38	0.21	0.39
Cla4	Cdc28	1	0	0.0	0.45	0.44	0.19	0.34
Cla4	Cla4	105	7	0.0	0.42	0.36	0.18	0.32
Cla4	Rax1	12	0	0.0	0.62	0.41	0.44	0.4
Cla4	Ste5	8	0	0.0	0.35	0.36	0.18	0.34
Nrp1	Axl2	4	19	0.0	0.35	0.36	0.43	0.45
Nrp1	Bem1	0	21	0.0	0.29	0.38	0.37	0.41
Nrp1	Bud1	18	16	0.0	0.56	0.52	0.19	0.41
Nrp1	Cdc24	0	1	0.0	0.35	0.48	0.21	0.41
Nrp1	Cdc28	7	26	0.0	0.2	0.41	0.52	0.46
Nrp1	Cla4	0	4	0.0	0.4	0.4	0.23	0.33
Nrp1	Nrp1	115	5	0.0	0.22	0.35	0.16	0.34
Nrp1	Rax1	0	0	0.0	0.3	0.42	0.18	0.37
Nrp1	Rga2	15	5	0.0	0.5	0.35	0.44	0.32
Nrp1	Ste5	50	0	0.0	0.49	0.51	0.25	0.38
Rax1	Bem1	3	0	0.0	0.35	0.44	0.19	0.36
Rax1	Cdc24	0	0	0.0	0.22	0.44	0.17	0.41
Rax1	Rax1	24	0	0.0	0.2	0.45	0.22	0.35
Rax1	Rga2	17	0	0.0	0.53	0.45	0.24	0.32
Rdi1	Act1	0	5	0.0	0.18	0.66	0.14	0.62
Rdi1	Arp2	2	5	0.0	0.2	0.66	0.13	0.59
Rdi1	Arp3	11	12	0.0	0.53	0.74	0.48	0.69
Rdi1	Axl2	15	6	0.0	0.63	0.5	0.19	0.43
Rdi1	Bem1	0	1	0.0	0.21	0.3	0.19	0.3
Rdi1	Bem3	0	1	0.0	0.54	0.31	0.38	0.29
Rdi1	Bud1	0	0	0.0	0.19	0.44	0.19	0.38
Rdi1	Cdc24	0	3	0.0	0.26	0.5	0.26	0.5
Rdi1	Cdc28	0	5	0.0	0.42	0.62	0.33	0.6
Rdi1	Cdc42	56	52	0.0	0.88	0.89	0.83	0.83
Rdi1	Cla4	13	13	0.0	0.48	0.43	0.16	0.38
Rdi1	Nrp1	5	11	0.0	0.38	0.43	0.13	0.42
Rdi1	Rax1	0	1	0.0	0.15	0.59	0.26	0.49
Rdi1	Rdi1	16	0	0.0	0.61	0.69	0.13	0.4
Rdi1	Rga2	28	5	0.0	0.68	0.38	0.19	0.3
Rdi1	Spa2	3	5	0.0	0.29	0.25	0.43	0.25
Rdi1	Ste5	8	1	0.0	0.6	0.51	0.23	0.43
Rga2	Bud1	31	21	100.0	0.63	0.32	0.58	0.32
Rho1	Act1	1	0	0.0	0.19	0.66	0.15	0.62
Rho1	Arp2	3	0	0.0	0.23	0.65	0.15	0.61
Rho1	Arp3	17	1	0.0	0.7	0.78	0.23	0.62
Rho1	Axl2	20	15	40.0	0.49	0.5	0.18	0.41
Rho1	Bem1	47	9	0.0	0.79	0.56	0.63	0.41
Rho1	Bem3	47	21	71.42857142857143	0.87	0.43	0.61	0.36
Rho1	Bud1	4	0	0.0	0.2	0.46	0.13	0.4
Rho1	Cdc24	69	64	0.0	0.86	0.67	0.84	0.66
Rho1	Cdc28	23	0	0.0	0.62	0.76	0.21	0.56
Rho1	Cdc42	12	0	0.0	0.32	0.59	0.12	0.44
Rho1	Cla4	37	4	50.0	0.7	0.52	0.58	0.38
Rho1	Nrp1	0	1	0.0	0.48	0.44	0.17	0.43
Rho1	Rax1	24	2	50.0	0.76	0.79	0.5	0.61
Rho1	Rdi1	55	53	94.33962264150944	0.87	0.87	0.82	0.84
Rho1	Rga2	46	25	0.0	0.87	0.43	0.74	0.39
Rho1	Rho1	28	0	0.0	0.59	0.72	0.11	0.39
Rho1	Spa2	0	0	0.0	0.38	0.3	0.49	0.28
Rho1	Ste5	17	0	0.0	0.58	0.47	0.17	0.41
Spa2	Bud1	3	7	0.0	0.46	0.29	0.21	0.24
Spa2	Cdc28	47	2	0.0	0.91	0.44	0.24	0.29
Ste5	Axl2	2	0	0.0	0.31	0.37	0.28	0.39
Ste5	Bud1	17	0	0.0	0.54	0.4	0.21	0.4
Ste5	Rax1	0	4	0.0	0.4	0.4	0.52	0.48
Ste5	Ste5	0	0	0.0	0.27	0.38	0.19	0.33
