Protein1	Protein2	Num Interactions AF2	Num Interactions AF3	Percentage Overlap	iPTM_AF2	PTM_AF2	iPTM_AF3	PTM_AF3
Axl2	Rga2	27	13	0.0	0.28	0.35	0.18	0.31
Bem1	Bem1	33	71	0.0	0.17	0.26	0.22	0.28
Bem1	Bud1	35	34	0.0	0.38	0.38	0.29	0.31
Bem1	Rga2	3	39	0.0	0.31	0.29	0.23	0.27
Bem1	Ste5	38	33	3.0303030303030303	0.37	0.42	0.33	0.36
Bem3	Bem1	63	52	0.0	0.26	0.3	0.27	0.29
Bem3	Bud1	30	23	0.0	0.62	0.39	0.29	0.31
Bem3	Cdc28	31	37	0.0	0.67	0.35	0.22	0.31
Bem3	Nrp1	68	29	0.0	0.44	0.35	0.22	0.32
Bem3	Rax1	0	32	0.0	0.32	0.35	0.19	0.32
Bud1	Bud1	41	29	37.93103448275862	0.21	0.43	0.26	0.42
Bud1	Rax1	13	15	0.0	0.2	0.55	0.21	0.47
Bud3	Bud1	48	7	0.0	0.52	0.48	0.28	0.41
Bud3	Cdc42	56	53	0.0	0.92	0.49	0.91	0.5
Bud3	Rdi1	5	17	0.0	0.53	0.45	0.44	0.45
Bud3	Rho1	71	44	59.09090909090909	0.82	0.45	0.82	0.5
Cdc24	Bem1	48	62	41.935483870967744	0.34	0.46	0.29	0.43
Cdc24	Bud1	47	64	53.125	0.61	0.61	0.53	0.57
Cdc24	Cdc24	35	107	10.2803738317757	0.25	0.45	0.23	0.39
Cdc24	Cdc42	70	87	0.0	0.92	0.68	0.89	0.68
Cdc24	Rga2	15	40	0.0	0.5	0.47	0.4	0.39
Cdc24	Ste5	30	23	39.130434782608695	0.49	0.53	0.22	0.39
Cdc28	Axl2	19	47	0.0	0.31	0.42	0.28	0.38
Cdc28	Bem1	99	25	0.0	0.6	0.46	0.34	0.44
Cdc28	Bud1	29	7	0.0	0.65	0.71	0.11	0.51
Cdc28	Cdc24	158	38	0.0	0.23	0.45	0.29	0.46
Cdc28	Cdc28	34	47	0.0	0.26	0.57	0.14	0.52
Cdc28	Rax1	35	7	57.14285714285714	0.41	0.63	0.14	0.42
Cdc28	Rga2	69	24	0.0	0.56	0.39	0.22	0.32
Cdc28	Ste5	32	22	0.0	0.77	0.54	0.2	0.41
Cdc42	Arp2	8	14	0.0	0.21	0.66	0.11	0.59
Cdc42	Arp3	36	17	23.52941176470588	0.84	0.83	0.23	0.63
Cdc42	Axl2	55	35	45.714285714285715	0.75	0.45	0.7	0.41
Cdc42	Bem1	75	68	83.82352941176471	0.86	0.48	0.81	0.46
Cdc42	Bem3	62	42	71.42857142857143	0.92	0.48	0.71	0.37
Cdc42	Bud1	26	9	0.0	0.71	0.68	0.22	0.44
Cdc42	Cdc28	29	24	37.5	0.51	0.71	0.39	0.64
Cdc42	Cdc42	13	26	0.0	0.16	0.52	0.43	0.64
Cdc42	Cla4	59	52	75.0	0.8	0.53	0.76	0.39
Cdc42	Nrp1	29	42	0.0	0.45	0.49	0.24	0.42
Cdc42	Rax1	26	6	66.66666666666666	0.7	0.76	0.32	0.52
Cdc42	Rga2	78	105	51.42857142857142	0.92	0.46	0.8	0.41
Cdc42	Spa2	30	30	0.0	0.41	0.28	0.27	0.25
Cdc42	Ste5	36	8	12.5	0.74	0.53	0.28	0.43
Cla4	Axl2	30	15	0.0	0.34	0.36	0.21	0.34
Cla4	Bem1	62	78	0.0	0.3	0.38	0.34	0.37
Cla4	Bud1	37	63	0.0	0.25	0.41	0.58	0.36
Cla4	Cdc24	53	20	0.0	0.33	0.38	0.21	0.39
Cla4	Cdc28	21	22	0.0	0.45	0.44	0.19	0.34
Cla4	Cla4	120	52	0.0	0.42	0.36	0.18	0.32
Cla4	Rax1	28	15	0.0	0.62	0.41	0.44	0.4
Cla4	Ste5	96	1	0.0	0.35	0.36	0.18	0.34
Nrp1	Axl2	20	38	0.0	0.35	0.36	0.43	0.45
Nrp1	Bem1	2	92	0.0	0.29	0.38	0.37	0.41
Nrp1	Bud1	25	48	0.0	0.56	0.52	0.19	0.41
Nrp1	Cdc24	9	37	0.0	0.35	0.48	0.21	0.41
Nrp1	Cdc28	33	50	6.0	0.2	0.41	0.52	0.46
Nrp1	Cla4	34	56	1.7857142857142856	0.4	0.4	0.23	0.33
Nrp1	Nrp1	147	73	0.0	0.22	0.35	0.16	0.34
Nrp1	Rax1	28	47	0.0	0.3	0.42	0.18	0.37
Nrp1	Rga2	31	61	0.0	0.5	0.35	0.44	0.32
Nrp1	Ste5	99	28	0.0	0.49	0.51	0.25	0.38
Rax1	Bem1	5	18	0.0	0.35	0.44	0.19	0.36
Rax1	Cdc24	0	9	0.0	0.22	0.44	0.17	0.41
Rax1	Rax1	29	18	22.22222222222222	0.2	0.45	0.22	0.35
Rax1	Rga2	40	3	0.0	0.53	0.45	0.24	0.32
Rdi1	Act1	17	16	0.0	0.18	0.66	0.14	0.62
Rdi1	Arp2	8	9	0.0	0.2	0.66	0.13	0.59
Rdi1	Arp3	18	20	0.0	0.53	0.74	0.48	0.69
Rdi1	Axl2	24	16	0.0	0.63	0.5	0.19	0.43
Rdi1	Bem1	8	27	0.0	0.21	0.3	0.19	0.3
Rdi1	Bem3	17	16	43.75	0.54	0.31	0.38	0.29
Rdi1	Bud1	15	0	0.0	0.19	0.44	0.19	0.38
Rdi1	Cdc24	10	11	0.0	0.26	0.5	0.26	0.5
Rdi1	Cdc28	19	16	75.0	0.42	0.62	0.33	0.6
Rdi1	Cdc42	57	53	0.0	0.88	0.89	0.83	0.83
Rdi1	Cla4	51	46	6.521739130434782	0.48	0.43	0.16	0.38
Rdi1	Nrp1	11	30	0.0	0.38	0.43	0.13	0.42
Rdi1	Rax1	9	18	0.0	0.15	0.59	0.26	0.49
Rdi1	Rdi1	34	4	0.0	0.61	0.69	0.13	0.4
Rdi1	Rga2	28	16	0.0	0.68	0.38	0.19	0.3
Rdi1	Spa2	16	40	0.0	0.29	0.25	0.43	0.25
Rdi1	Ste5	17	6	0.0	0.6	0.51	0.23	0.43
Rga2	Bud1	61	40	75.0	0.63	0.32	0.58	0.32
Rho1	Act1	27	10	10.0	0.19	0.66	0.15	0.62
Rho1	Arp2	29	9	22.22222222222222	0.23	0.65	0.15	0.61
Rho1	Arp3	17	14	0.0	0.7	0.78	0.23	0.62
Rho1	Axl2	34	26	46.15384615384615	0.49	0.5	0.18	0.41
Rho1	Bem1	68	55	0.0	0.79	0.56	0.63	0.41
Rho1	Bem3	54	43	65.11627906976744	0.87	0.43	0.61	0.36
Rho1	Bud1	39	8	0.0	0.2	0.46	0.13	0.4
Rho1	Cdc24	69	68	0.0	0.86	0.67	0.84	0.66
Rho1	Cdc28	29	22	59.09090909090909	0.62	0.76	0.21	0.56
Rho1	Cdc42	27	8	0.0	0.32	0.59	0.12	0.44
Rho1	Cla4	58	58	60.3448275862069	0.7	0.52	0.58	0.38
Rho1	Nrp1	15	24	0.0	0.48	0.44	0.17	0.43
Rho1	Rax1	30	23	52.17391304347826	0.76	0.79	0.5	0.61
Rho1	Rdi1	55	56	92.85714285714286	0.87	0.87	0.82	0.84
Rho1	Rga2	52	42	0.0	0.87	0.43	0.74	0.39
Rho1	Rho1	28	1	0.0	0.59	0.72	0.11	0.39
Rho1	Spa2	18	41	12.195121951219512	0.38	0.3	0.49	0.28
Rho1	Ste5	24	0	0.0	0.58	0.47	0.17	0.41
Spa2	Bud1	23	29	0.0	0.46	0.29	0.21	0.24
Spa2	Cdc28	51	23	0.0	0.91	0.44	0.24	0.29
Ste5	Axl2	29	24	0.0	0.31	0.37	0.28	0.39
Ste5	Bud1	52	12	0.0	0.54	0.4	0.21	0.4
Ste5	Rax1	24	18	0.0	0.4	0.4	0.52	0.48
Ste5	Ste5	6	16	0.0	0.27	0.38	0.19	0.33
