Domain Accession	Domain name	Count	Proteins	Accession proteins
IPR005225	Small GTP-binding domain	35	['RAS2', 'RHO1', 'YPT7', 'ARL3', 'RAS1', 'RSR1', 'ARF2', 'YPT1', 'SEC4', 'CDC42', 'ARL1', 'YPT10', 'TEM1', 'YPT32', 'RHO3', 'YPT6', 'RHO2', 'SAR1', 'RHB1', 'GSP1', 'YPT52', 'YPT31', 'RBG1', 'ARF1', 'VPS21', 'ARF3', 'YPT11', 'RHO5', 'RHO4', 'MSS1', 'YPT53', 'RBG2', 'MTG2', 'GSP2', 'CIN4']	['P01120', 'P06780', 'P32939', 'Q02804', 'P01119', 'P13856', 'P19146', 'P01123', 'P07560', 'P19073', 'P38116', 'P38146', 'P38987', 'P51996', 'Q00245', 'Q99260', 'P06781', 'P20606', 'P25378', 'P32835', 'P36018', 'P38555', 'P39729', 'P11076', 'P36017', 'P40994', 'P48559', 'P53879', 'Q00246', 'P32559', 'P36019', 'P53295', 'P38860', 'P32836', 'P39110']
IPR003594	Histidine kinase/HSP90-like ATPase domain	5	['HSP82', 'SLN1', 'HSC82', 'PKP1', 'TOP2']	['P02829', 'P39928', 'P15108', 'P40530', 'P06786']
IPR020575	Heat shock protein Hsp90, N-terminal	2	['HSP82', 'HSC82']	['P02829', 'P15108']
IPR000795	Translational (tr)-type GTP-binding domain	14	['TUF1', 'HBS1', 'SNU114', 'SUP35', 'RIA1', 'GCD11', 'EFT1', 'TEF1', 'FUN12', 'GUF1', 'SKI7', 'MEF1', 'IFM1', 'MEF2']	['P02992', 'P32769', 'P36048', 'P05453', 'P53893', 'P32481', 'P32324', 'P02994', 'P39730', 'P46943', 'Q08491', 'P25039', 'P25038', 'P39677']
IPR004160	Translation elongation factor EFTu/EF1A, C-terminal	1	['TUF1']	['P02992']
IPR004161	Translation elongation factor EFTu-like, domain 2	9	['TUF1', 'SUP35', 'RIA1', 'GCD11', 'EFT1', 'TEF1', 'GUF1', 'MEF1', 'MEF2']	['P02992', 'P05453', 'P53893', 'P32481', 'P32324', 'P02994', 'P46943', 'P25039', 'P39677']
IPR005479	Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain	9	['CPA2', 'CPA2', 'PYC1', 'URA2', 'URA2', 'PYC2', 'DUR1,2', 'HFA1', 'ACC1']	['P03965', 'P03965', 'P11154', 'P07259', 'P07259', 'P32327', 'P32528', 'P32874', 'Q00955']
IPR005480	Carbamoyl-phosphate synthetase, large subunit oligomerisation domain	2	['CPA2', 'URA2']	['P03965', 'P07259']
IPR005483	Carbamoyl-phosphate synthase large subunit, CPSase domain	6	['CPA2', 'CPA2', 'CPA2', 'URA2', 'URA2', 'URA2']	['P03965', 'P03965', 'P03965', 'P07259', 'P07259', 'P07259']
IPR011607	Methylglyoxal synthase-like domain	4	['CPA2', 'ADE16', 'URA2', 'ADE17']	['P03965', 'P54113', 'P07259', 'P38009']
IPR004202	Cytochrome c oxidase subunit VIIc	1	['COX8']	['P04039']
IPR004841	Amino acid permease/ SLC12A domain	20	['CAN1', 'VHC1', 'GNP1', 'BAP2', 'TAT2', 'GAP1', 'AGP1', 'TAT1', 'SAM3', 'PUT4', 'SSY1', 'AGP2', 'BAP3', 'HIP1', 'MMP1', 'DIP5', 'LYP1', 'ALP1', 'TPO5', 'AGP3']	['P04817', 'P38329', 'P48813', 'P38084', 'P38967', 'P19145', 'P25376', 'P38085', 'Q08986', 'P15380', 'Q03770', 'P38090', 'P41815', 'P06775', 'Q12372', 'P53388', 'P32487', 'P38971', 'P36029', 'P43548']
IPR006131	Aspartate/ornithine carbamoyltransferase, Asp/Orn-binding domain	2	['ARG3', 'URA2']	['P05150', 'P07259']
IPR006132	Aspartate/ornithine carbamoyltransferase, carbamoyl-P binding	2	['ARG3', 'URA2']	['P05150', 'P07259']
IPR027534	Large ribosomal subunit protein P1/P2	4	['RPP1A', 'RPP2A', 'RPP2B', 'RPP1B']	['P05318', 'P05319', 'P02400', 'P10622']
IPR007318	Phospholipid methyltransferase	3	['OPI3', 'CHO2', 'CHO2']	['P05375', 'P05374', 'P05374']
IPR024960	Phosphatidyl-N-methylethanolamine/Phosphatidylethanolamine N-methyltransferase	1	['OPI3']	['P05375']
IPR012988	Large ribosomal subunit protein uL30, N-terminal, eukaryotes	2	['RPL7A', 'RPL7B']	['P05737', 'Q12213']
IPR016082	Large ribosomal subunit protein uL30-like, ferredoxin-like fold domain	4	['RPL7A', 'RLP7', 'RPL7B', 'MRPL33']	['P05737', 'P40693', 'Q12213', 'P20084']
IPR035808	Large ribosomal subunit protein uL30, eukaryotic/archaeal	3	['RPL7A', 'RLP7', 'RPL7B']	['P05737', 'P40693', 'Q12213']
IPR001063	Large ribosomal subunit protein uL22	3	['RPL17A', 'RPL17B', 'MRPL22']	['P05740', 'P46990', 'P53881']
IPR000439	Large ribosomal subunit protein eL15	2	['RPL15A', 'RPL15B']	['P05748', 'P54780']
IPR012606	Small ribosomal subunit protein uS15, N-terminal	1	['RPS13']	['P05756']
IPR013855	Cdc37, N-terminal domain	1	['CDC37']	['P06101']
IPR013873	Cdc37, C-terminal	1	['CDC37']	['P06101']
IPR013874	Cdc37, Hsp90 binding	1	['CDC37']	['P06101']
IPR000719	Protein kinase domain	118	['TPK2', 'SNF1', 'PBS2', 'GCN2', 'GCN2', 'DBF2', 'VPS15', 'STE11', 'KIN82', 'KCC4', 'PSK1', 'MKK1', 'ELM1', 'RCK2', 'KSP1', 'YCK3', 'BUB1', 'BCK1', 'CTK1', 'PSK2', 'SKM1', 'SKS1', 'CDC28', 'STE7', 'PHO85', 'SGV1', 'HRR25', 'MKK2', 'SAK1', 'IPL1', 'SSN3', 'RIM15', 'CLA4', 'FPK1', 'ARK1', 'CDC7', 'SPS1', 'SCH9', 'YPK1', 'YAK1', 'KSS1', 'YPK2', 'CKA2', 'NPR1', 'YCK1', 'PKC1', 'CMK1', 'CDC15', 'IRE1', 'HOG1', 'CDC5', 'NNK1', 'PAN3', 'KIC1', 'PRK1', 'TOS3', 'BUD32', 'SSK2', 'CBK1', 'MPS1', 'SLT2', 'KIN4', 'PKH1', 'SKY1', 'RIO1', 'PKH2', 'KIN1', 'KIN2', 'CKA1', 'FUS3', 'RAD53', 'DBF20', 'KNS1', 'SWE1', 'HSL1', 'KDX1', 'CHK1', 'HAL5', 'SMK1', 'STE20', 'TDA1', 'VHS1', 'ENV7', 'TPK3', 'KIN28', 'TPK1', 'MCK1', 'YCK2', 'SAT4', 'PRR1', 'AKL1', 'RIM11', 'DUN1', 'PTK2', 'ATG1', 'FRK1', 'GIN4', 'KIN3', 'SSK22', 'YPK3', 'FMP48', 'ISR1', 'RTK1', 'PTK1', 'CMK2', 'IME2', 'CAK1', 'HRK1', 'YGK3', 'PRR2', 'MEK1', 'PKH3', 'KKQ8', '[]', 'IKS1', 'RCK1', 'MRK1', 'SCY1']	['P06245', 'P06782', 'P08018', 'P15442', 'P15442', 'P22204', 'P22219', 'P23561', 'P25341', 'P25389', 'P31374', 'P32490', 'P32801', 'P38623', 'P38691', 'P39962', 'P41695', 'Q01389', 'Q03957', 'Q08217', 'Q12469', 'Q12505', 'P00546', 'P06784', 'P17157', 'P23293', 'P29295', 'P32491', 'P38990', 'P38991', 'P39073', 'P43565', 'P48562', 'P53739', 'P53974', 'P06243', 'P08458', 'P11792', 'P12688', 'P14680', 'P14681', 'P18961', 'P19454', 'P22211', 'P23291', 'P24583', 'P27466', 'P27636', 'P32361', 'P32485', 'P32562', 'P36003', 'P36102', 'P38692', 'P40494', 'P43637', 'P53323', 'P53599', 'P53894', 'P54199', 'Q00772', 'Q01919', 'Q03407', 'Q03656', 'Q12196', 'Q12236', 'P13185', 'P13186', 'P15790', 'P16892', 'P22216', 'P32328', 'P32350', 'P32944', 'P34244', 'P36005', 'P38147', 'P38970', 'P41808', 'Q03497', 'Q03533', 'Q03785', 'Q12003', 'P05986', 'P06242', 'P06244', 'P21965', 'P23292', 'P25333', 'P28708', 'P38080', 'P38615', 'P39009', 'P47116', 'P53104', 'Q03002', 'Q12263', 'P22209', 'P25390', 'P38070', 'P53233', 'Q06098', 'Q12100', 'P36002', 'P22517', 'P32581', 'P43568', 'Q08732', 'Q12222', 'Q12310', 'P24719', 'Q03306', 'P36004', 'Q12152', 'P47042', 'P38622', 'P50873', 'P53009']
IPR000961	AGC-kinase, C-terminal	13	['TPK2', 'DBF2', 'RIM15', 'FPK1', 'SCH9', 'YPK1', 'YPK2', 'PKC1', 'CBK1', 'DBF20', 'TPK3', 'TPK1', 'YPK3']	['P06245', 'P22204', 'P43565', 'P53739', 'P11792', 'P12688', 'P18961', 'P24583', 'P53894', 'P32328', 'P05986', 'P06244', 'P38070']
IPR013896	Carbon catabolite-derepressing protein kinase, ubiquitin-associated domain	1	['SNF1']	['P06782']
IPR032270	AMPK, C-terminal adenylate sensor domain	1	['SNF1']	['P06782']
IPR013256	Chromatin SPT2	1	['SPT2']	['P06843']
IPR005687	Mitochondrial outer membrane translocase complex, subunit Tom70	1	['TOM70']	['P07213']
IPR001040	Translation Initiation factor eIF- 4e	1	['CDC33']	['P07260']
IPR000573	Aconitase A/isopropylmalate dehydratase small subunit, swivel domain	4	['LEU1', 'ACO1', 'ACO2', 'LYS4']	['P07264', 'P19414', 'P39533', 'P49367']
IPR001030	Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha domain	4	['LEU1', 'ACO1', 'ACO2', 'LYS4']	['P07264', 'P19414', 'P39533', 'P49367']
IPR033121	Peptidase family A1 domain	9	['PEP4', 'YPS1', 'BAR1', 'MKC7', 'YPS3', 'YPS7', 'YPS6', 'YPS5', '[]']	['P07267', 'P32329', 'P12630', 'P53379', 'Q12303', 'Q06325', 'P40583', 'P53057', 'Q3E740']
IPR006204	GHMP kinase N-terminal domain	5	['ERG12', 'GAL1', 'GAL3', 'THR1', 'ERG8']	['P07277', 'P04385', 'P13045', 'P17423', 'P24521']
IPR001266	Small ribosomal subunit protein eS19	2	['RPS19A', 'RPS19B']	['P07280', 'P07281']
IPR001810	F-box domain	11	['CDC4', 'MET30', 'DIA2', 'GRR1', 'UFO1', 'MDM30', 'SKP2', 'ELA1', 'DAS1', '[]', 'MFB1']	['P07834', 'P39014', 'Q08496', 'P24814', 'Q04511', 'Q05930', 'P42843', 'P53861', 'P47005', 'Q03899', 'Q04922']
IPR031740	Cell division control protein 4, dimerisation domain	1	['CDC4']	['P07834']
IPR000651	Ras-like guanine nucleotide exchange factor, N-terminal	5	['LTE1', 'BUD5', 'BEM2', 'CDC25', 'SDC25']	['P07866', 'P25300', 'P39960', 'P04821', 'P0CF34']
IPR001895	Ras guanine-nucleotide exchange factors catalytic domain	5	['LTE1', 'BUD5', 'BEM2', 'CDC25', 'SDC25']	['P07866', 'P25300', 'P39960', 'P04821', 'P0CF34']
IPR005814	Aminotransferase class-III	2	['CAR2', 'BIO3']	['P07991', 'P50277']
IPR002319	Phenylalanyl-tRNA synthetase	3	['MSF1', 'MSF1', 'FRS2']	['P08425', 'P08425', 'P15625']
IPR005121	Ferrodoxin-fold anticodon-binding domain	1	['MSF1']	['P08425']
IPR006195	Aminoacyl-tRNA synthetase, class II	7	['MSF1', 'HTS1', 'GRS1', 'GRS2', 'DIA4', 'THS1', '[]']	['P08425', 'P07263', 'P38088', 'Q06817', 'P38705', 'P04801', 'P38708']
IPR000092	Polyprenyl synthetase	3	['ERG20', 'BTS1', 'COQ1']	['P08524', 'Q12051', 'P18900']
IPR004205	Cytochrome b-c1 complex subunit 8	1	['QCR8']	['P08525']
IPR002020	Citrate synthase	3	['CIT2', 'CIT1', 'CIT3']	['P08679', 'P00890', 'P43635']
IPR001609	Myosin head, motor domain	5	['MYO1', 'MYO4', 'MYO3', 'MYO5', 'MYO2']	['P08964', 'P32492', 'P36006', 'Q04439', 'P19524']
IPR004009	Myosin, N-terminal, SH3-like	3	['MYO1', 'MYO4', 'MYO2']	['P08964', 'P32492', 'P19524']
IPR000209	Peptidase S8/S53 domain	4	['PRB1', 'KEX2', 'RRT12', 'YSP3']	['P09232', 'P13134', 'P25381', 'P25036']
IPR010259	Peptidase S8 propeptide/proteinase inhibitor I9	2	['PRB1', 'YSP3']	['P09232', 'P25036']
IPR001563	Peptidase S10, serine carboxypeptidase	2	['KEX1', 'ATG42']	['P09620', 'P38109']
IPR000358	Ribonucleotide reductase small subunit family	2	['RNR2', 'RNR4']	['P09938', 'P49723']
IPR004977	Small ribosomal subunit protein eS25	2	['RPS25B', 'RPS25A']	['P0C0T4', 'Q3E792']
IPR001931	Small ribosomal subunit protein eS21	2	['RPS21A', 'RPS21B']	['P0C0V8', 'Q3E754']
IPR031309	Large ribosomal subunit protein uL5, C-terminal	3	['RPL11A', 'RPL11B', 'MRPL7']	['P0C0W9', 'Q3E757', 'P36519']
IPR031310	Large ribosomal subunit protein uL5, N-terminal	3	['RPL11A', 'RPL11B', 'MRPL7']	['P0C0W9', 'Q3E757', 'P36519']
IPR001584	Integrase, catalytic core	50	['TY1B-PR2', 'TY1B-PR3', 'TY1B-JR2', 'TY1B-MR1', 'TY1B-ML1', 'TY2B-DR3', 'TY2B-OR1', 'TY2B-OR2', 'TY3B-I', 'TY1B-OR', 'TY1B-DR3', 'TY1B-LR2', 'TY1B-JR1', 'TY1B-ER1', 'TY1B-DR1', 'TY1B-DR4', 'TY1B-NL1', 'TY1B-BR', 'TY1B-NL2', 'TY4B-P', 'TY1B-DR5', 'TY1B-DR6', 'TY4B-H', 'TY2B-GR2', 'TY4B-J', 'TY1B-ER2', 'TY1B-LR1', 'TY1B-PL', 'TY3B-G', 'TY1B-A', 'TY1B-LR3', 'TY1B-LR4', 'TY1B-PR1', 'TY2B-LR1', 'TY2B-C', 'TY1B-MR2', 'TY1B-GR3', 'TY2B-B', 'TY1B-H', 'TY2B-LR2', 'TY2B-F', 'TY1B-ML2', 'TY2B-DR2', 'TY1B-GR1', 'TY1B-GR2', 'TY1B-OL', 'TY2B-GR1', 'TY2B-DR1', 'TY1B-BL', '[]']	['P0C2J0', 'P0C2J1', 'P47100', 'Q04214', 'Q04711', 'Q07791', 'Q12113', 'Q12501', 'Q7LHG5', 'Q92393', 'Q99231', 'P0C2I5', 'P47098', 'Q03612', 'Q03855', 'Q07793', 'Q12112', 'Q12193', 'Q99337', 'A0A0B7P3V8', 'P0C2I2', 'P0C2I3', 'P0C2J7', 'P0CX64', 'P47024', 'Q03619', 'Q12088', 'Q12414', 'Q99315', 'O13527', 'P0C2I6', 'P0C2I7', 'P0C2I9', 'P0C2J3', 'P25384', 'Q04670', 'Q12316', 'Q12491', 'O13535', 'P0C2J5', 'P0CX63', 'Q03434', 'Q03494', 'Q12141', 'Q12269', 'Q12273', 'Q12337', 'Q12472', 'Q12490', 'E9PAE3']
IPR013103	Reverse transcriptase, RNA-dependent DNA polymerase	47	['TY1B-PR2', 'TY1B-PR3', 'TY1B-JR2', 'TY1B-MR1', 'TY1B-ML1', 'TY2B-DR3', 'TY2B-OR1', 'TY2B-OR2', 'TY1B-OR', 'TY1B-DR3', 'TY1B-LR2', 'TY1B-JR1', 'TY1B-ER1', 'TY1B-DR1', 'TY1B-DR4', 'TY1B-NL1', 'TY1B-BR', 'TY1B-NL2', 'TY1B-DR5', 'TY1B-DR6', 'TY4B-H', 'TY2B-GR2', 'TY4B-J', 'TY1B-ER2', 'TY1B-LR1', 'TY1B-PL', 'TY1B-A', 'TY1B-LR3', 'TY1B-LR4', 'TY1B-PR1', 'TY2B-LR1', 'TY2B-C', 'TY1B-MR2', 'TY1B-GR3', 'TY2B-B', 'TY1B-H', 'TY2B-LR2', 'TY2B-F', 'TY1B-ML2', 'TY2B-DR2', 'TY1B-GR1', 'TY1B-GR2', 'TY1B-OL', 'TY2B-GR1', 'TY2B-DR1', 'TY1B-BL', 'TY5A']	['P0C2J0', 'P0C2J1', 'P47100', 'Q04214', 'Q04711', 'Q07791', 'Q12113', 'Q12501', 'Q92393', 'Q99231', 'P0C2I5', 'P47098', 'Q03612', 'Q03855', 'Q07793', 'Q12112', 'Q12193', 'Q99337', 'P0C2I2', 'P0C2I3', 'P0C2J7', 'P0CX64', 'P47024', 'Q03619', 'Q12088', 'Q12414', 'O13527', 'P0C2I6', 'P0C2I7', 'P0C2I9', 'P0C2J3', 'P25384', 'Q04670', 'Q12316', 'Q12491', 'O13535', 'P0C2J5', 'P0CX63', 'Q03434', 'Q03494', 'Q12141', 'Q12269', 'Q12273', 'Q12337', 'Q12472', 'Q12490', 'P25600']
IPR026770	Ribonuclease kappa	1	['[]']	['P0C5R9']
IPR052471	Protease B Inhibitor I9	2	['PBI2', '[]']	['P0CT04', 'P38841']
IPR001976	Small ribosomal subunit protein eS24	2	['RPS24A', 'RPS24B']	['P0CX31', 'P0CX32']
IPR002942	RNA-binding S4 domain	6	['RPS4B', 'IMP3', 'RPS9A', 'RPS9B', 'RPS4A', 'NAM9']	['P0CX36', 'P32899', 'O13516', 'P05755', 'P0CX35', 'P27929']
IPR005824	KOW	11	['RPS4B', 'SPT5', 'SPT5', 'SPT5', 'SPT5', 'RPL14A', 'RPS4A', 'RPL14B', 'RPL26B', 'RPL26A', 'MRPL40']	['P0CX36', 'P27692', 'P27692', 'P27692', 'P27692', 'P36105', 'P0CX35', 'P38754', 'P53221', 'P05743', 'P36534']
IPR013843	Small ribosomal subunit protein eS4, N-terminal	2	['RPS4B', 'RPS4A']	['P0CX36', 'P0CX35']
IPR013845	Small ribosomal subunit protein eS4, central region	2	['RPS4B', 'RPS4A']	['P0CX36', 'P0CX35']
IPR032277	Small ribosomal subunit protein eS4, C-terminal domain	2	['RPS4B', 'RPS4A']	['P0CX36', 'P0CX35']
IPR002143	Large ribosomal subunit protein uL1	3	['RPL1B', 'RPL1A', 'MRPL1']	['P0CX44', 'P0CX43', 'Q04599']
IPR032440	Small ribosomal subunit protein uS17, N-terminal	2	['RPS11A', 'RPS11B']	['P0CX47', 'P0CX48']
IPR021131	Large ribosomal subunit protein uL15/eL18	4	['RPL18B', 'RPL18A', 'RPL28', 'MRPL10']	['P0CX50', 'P0CX49', 'P02406', 'P36520']
IPR001892	Small ribosomal subunit protein uS13	3	['RPS18B', 'RPS18A', 'SWS2']	['P0CX56', 'P0CX55', 'P53937']
IPR027474	L-asparaginase, N-terminal	5	['ASP3-2', 'ASP3-1', 'ASP3-4', 'ASP3-3', 'ASP1']	['P0CX77', 'P0CZ17', 'P0CX79', 'P0CX78', 'P38986']
IPR040919	Asparaginase/glutaminase, C-terminal	5	['ASP3-2', 'ASP3-1', 'ASP3-4', 'ASP3-3', 'ASP1']	['P0CX77', 'P0CZ17', 'P0CX79', 'P0CX78', 'P38986']
IPR006856	Mating-type protein MAT alpha 1, HMG-box	2	['MATALPHA1', 'HMLALPHA1']	['P0CY06', 'P0CY07']
IPR001128	Cytochrome P450	3	['ERG11', 'ERG5', 'DIT2']	['P10614', 'P54781', 'P21595']
IPR000089	Biotin/lipoyl attachment	9	['PYC1', 'PDX1', 'KGD2', 'GCV3', 'PYC2', 'DUR1,2', 'LAT1', 'HFA1', 'ACC1']	['P11154', 'P16451', 'P19262', 'P39726', 'P32327', 'P32528', 'P12695', 'P32874', 'Q00955']
IPR000891	Pyruvate carboxyltransferase	6	['PYC1', 'PYC2', 'LEU4', 'LEU9', 'LYS21', 'LYS20']	['P11154', 'P32327', 'P06208', 'Q12166', 'Q12122', 'P48570']
IPR003379	Carboxylase, conserved domain	2	['PYC1', 'PYC2']	['P11154', 'P32327']
IPR005481	Biotin carboxylase-like, N-terminal domain	5	['PYC1', 'PYC2', 'DUR1,2', 'HFA1', 'ACC1']	['P11154', 'P32327', 'P32528', 'P32874', 'Q00955']
IPR005482	Biotin carboxylase, C-terminal	5	['PYC1', 'PYC2', 'DUR1,2', 'HFA1', 'ACC1']	['P11154', 'P32327', 'P32528', 'P32874', 'Q00955']
IPR001952	Alkaline phosphatase	1	['PHO8']	['P11491']
IPR000938	CAP Gly-rich domain	4	['BIK1', 'NIP100', 'ALF1', 'PAC2']	['P11709', 'P33420', 'P53904', 'P39937']
IPR001452	SH3 domain	28	['FUS1', 'SHO1', 'PEX13', 'SLA1', 'SLA1', 'SLA1', 'YSC84', 'MYO3', 'BOI1', 'BZZ1', 'BZZ1', 'BUD14', 'HSE1', 'RVS167', 'BBC1', 'CYK3', 'BEM1', 'BEM1', 'LSB3', 'MYO5', 'CDC25', 'ABP1', 'BOI2', 'LSB1', 'HOF1', 'PIN3', 'NBP2', '[]']	['P11710', 'P40073', 'P80667', 'P32790', 'P32790', 'P32790', 'P32793', 'P36006', 'P38041', 'P38822', 'P38822', 'P27637', 'P38753', 'P39743', 'P47068', 'Q07533', 'P29366', 'P29366', 'P43603', 'Q04439', 'P04821', 'P15891', 'P39969', 'P53281', 'Q05080', 'Q06449', 'Q12163', 'P0CF33']
IPR003195	Transcription initiation factor IID, subunit 13	2	['TAF13', 'SPT3']	['P11747', 'P06844']
IPR001005	SANT/Myb domain	32	['RAP1', 'REB1', 'REB1', 'REB1', 'REB1', 'ISW1', 'ISW1', 'DOT6', 'SNT1', 'SNT1', 'SWC4', 'RSC8', 'BDP1', 'SNT2', 'ADA2', 'ISW2', 'ISW2', 'SWI3', 'TBF1', 'TOD6', 'TOD6', 'CEF1', 'CEF1', 'NSI1', 'NSI1', 'NSI1', 'NSI1', 'BAS1', 'BAS1', 'BAS1', 'EAF1', 'RPI1']	['P11938', 'P21538', 'P21538', 'P21538', 'P21538', 'P38144', 'P38144', 'P40059', 'P25357', 'P25357', 'P53201', 'P43609', 'P46678', 'P53127', 'Q02336', 'Q08773', 'Q08773', 'P32591', 'Q02457', 'P34219', 'P34219', 'Q03654', 'Q03654', 'Q12457', 'Q12457', 'Q12457', 'Q12457', 'P22035', 'P22035', 'P22035', 'Q06337', 'P23250']
IPR001357	BRCT domain	17	['RAP1', 'RAD9', 'RTT107', 'RTT107', 'RTT107', 'RTT107', 'RTT107', 'CHS5', 'RFC1', 'DPB11', 'DPB11', 'DPB11', 'NOP7', 'REV1', 'DNL4', 'DNL4', 'FCP1']	['P11938', 'P14737', 'P38850', 'P38850', 'P38850', 'P38850', 'P38850', 'Q12114', 'P38630', 'P47027', 'P47027', 'P47027', 'P53261', 'P12689', 'Q08387', 'Q08387', 'Q03254']
IPR015280	Rap1, DNA-binding domain	1	['RAP1']	['P11938']
IPR021661	TRF2-interacting telomeric protein/Rap1, C-terminal	1	['RAP1']	['P11938']
IPR035476	Phosphoglucose isomerase, SIS domain 1	1	['PGI1']	['P12709']
IPR035482	Phosphoglucose isomerase, SIS domain 2	1	['PGI1']	['P12709']
IPR013134	RAD50, zinc hook	1	['RAD50']	['P12753']
IPR038729	Rad50/SbcC-type AAA domain	2	['RAD50', 'SMC6']	['P12753', 'Q12749']
IPR003601	DNA topoisomerase, type IA, domain 2	1	['TOP3']	['P13099']
IPR003602	DNA topoisomerase, type IA, DNA-binding domain	1	['TOP3']	['P13099']
IPR006171	TOPRIM domain	2	['TOP3', 'TOP2']	['P13099', 'P06786']
IPR013914	Rad9-like Rad53-binding domain, fungi	1	['RAD9']	['P14737']
IPR000649	Initiation factor 2B-related	4	['GCN3', 'GCD2', 'GCD7', 'MRI1']	['P14741', 'P12754', 'P32502', 'Q06489']
IPR004843	Calcineurin-like phosphoesterase domain, ApaH type	20	['CMP2', 'PPZ1', 'PPN2', 'CNA1', 'PPH21', 'PPH3', 'MRE11', 'PPT1', 'DBR1', 'PPN1', 'SIT4', 'PPG1', 'PPH22', 'GLC7', 'PPQ1', 'PPZ2', 'DCR2', 'CDC1', 'TED1', 'SIA1']	['P14747', 'P26570', 'P40152', 'P23287', 'P23594', 'P32345', 'P32829', 'P53043', 'P24309', 'Q04119', 'P20604', 'P32838', 'P23595', 'P32598', 'P32945', 'P33329', 'Q05924', 'P40986', 'P40533', 'Q12212']
IPR006186	Serine/threonine-specific protein phosphatase/bis(5-nucleosyl)-tetraphosphatase	12	['CMP2', 'PPZ1', 'CNA1', 'PPH21', 'PPH3', 'PPT1', 'SIT4', 'PPG1', 'PPH22', 'GLC7', 'PPQ1', 'PPZ2']	['P14747', 'P26570', 'P23287', 'P23594', 'P32345', 'P53043', 'P20604', 'P32838', 'P23595', 'P32598', 'P32945', 'P33329']
IPR002130	Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain	9	['CPR1', 'CPR6', 'CPR7', 'CPR3', 'CWC27', 'CPR2', 'CPR4', 'CPR5', 'CPR8']	['P14832', 'P53691', 'P47103', 'P25719', 'Q02770', 'P23285', 'P25334', 'P35176', 'P53728']
IPR001623	DnaJ domain	21	['SEC63', 'SCJ1', 'YDJ1', 'MDJ1', 'PAM18', 'SIS1', 'JAC1', 'ZUO1', 'DJP1', 'APJ1', 'JEM1', 'JJJ3', 'CWC23', 'JJJ1', 'XDJ1', 'ERJ5', 'JJJ2', 'MDJ2', 'HLJ1', 'JID1', 'CAJ1']	['P14906', 'P25303', 'P25491', 'P35191', 'Q07914', 'P25294', 'P53193', 'P32527', 'P40564', 'P53940', 'P40358', 'P47138', 'P52868', 'P53863', 'P39102', 'P43613', 'P46997', 'P42834', 'P48353', 'Q12350', 'P39101']
IPR004179	Sec63 domain	6	['SEC63', 'BRR2', 'BRR2', 'HFM1', 'SLH1', 'SLH1']	['P14906', 'P32639', 'P32639', 'P51979', 'P53327', 'P53327']
