	Domain name	Count	Proteins
IPR003594	['Histidine kinase/HSP90-like ATPase']	5	['HSP82', 'SLN1', 'HSC82', 'PKP1', 'TOP2']
IPR020575	['Heat shock protein Hsp90, N-terminal']	2	['HSP82', 'HSC82']
IPR000795	['Translational (tr)-type GTP-binding domain']	14	['TUF1', 'HBS1', 'SNU114', 'SUP35', 'RIA1', 'GCD11', 'EFT1', 'TEF1', 'FUN12', 'GUF1', 'SKI7', 'MEF1', 'IFM1', 'MEF2']
IPR004160	['Translation elongation factor EFTu/EF1A, C-terminal']	3	['TUF1', 'SUP35', 'TEF1']
IPR004161	['Translation elongation factor EFTu-like, domain 2']	9	['TUF1', 'SUP35', 'RIA1', 'GCD11', 'EFT1', 'TEF1', 'GUF1', 'MEF1', 'MEF2']
IPR005479	['Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain']	9	['CPA2', 'CPA2', 'PYC1', 'URA2', 'URA2', 'PYC2', 'DUR1,2', 'HFA1', 'ACC1']
IPR005480	['Carbamoyl-phosphate synthetase, large subunit oligomerisation domain']	2	['CPA2', 'URA2']
IPR005483	['Carbamoyl-phosphate synthase large subunit, CPSase domain']	6	['CPA2', 'CPA2', 'CPA2', 'URA2', 'URA2', 'URA2']
IPR011607	['Methylglyoxal synthase-like domain']	4	['CPA2', 'ADE16', 'URA2', 'ADE17']
IPR004841	['Amino acid permease/ SLC12A domain']	20	['CAN1', 'VHC1', 'GNP1', 'BAP2', 'TAT2', 'GAP1', 'AGP1', 'TAT1', 'SAM3', 'PUT4', 'SSY1', 'AGP2', 'BAP3', 'HIP1', 'MMP1', 'DIP5', 'LYP1', 'ALP1', 'TPO5', 'AGP3']
IPR006131	['Aspartate/ornithine carbamoyltransferase, Asp/Orn-binding domain']	2	['ARG3', 'URA2']
IPR006132	['Aspartate/ornithine carbamoyltransferase, carbamoyl-P binding']	2	['ARG3', 'URA2']
IPR012988	['Large ribosomal subunit protein uL30, N-terminal, eukaryotes']	2	['RPL7A', 'RPL7B']
IPR016082	['Large ribosomal subunit protein uL30-like, ferredoxin-like fold domain']	4	['RPL7A', 'RLP7', 'RPL7B', 'MRPL33']
IPR035808	['Large ribosomal subunit protein uL30, eukaryotic/archaeal']	3	['RPL7A', 'RLP7', 'RPL7B']
IPR012606	['Small ribosomal subunit protein uS15, N-terminal']	1	['RPS13']
IPR013855	['Cdc37, N-terminal domain']	1	['CDC37']
IPR013873	['Cdc37, C-terminal']	1	['CDC37']
IPR013874	['Cdc37, Hsp90 binding']	1	['CDC37']
IPR000719	['Protein kinase domain']	118	['TPK2', 'SNF1', 'PBS2', 'GCN2', 'GCN2', 'DBF2', 'VPS15', 'STE11', 'KIN82', 'KCC4', 'SSK22', 'PSK1', 'MKK1', 'ELM1', 'YPK3', 'RCK2', 'KSP1', 'YCK3', 'BUB1', 'BCK1', 'CTK1', 'PSK2', 'RTK1', 'SKM1', 'SKS1', 'CDC28', 'STE7', 'PHO85', 'SGV1', 'HRR25', 'MKK2', 'SAK1', 'IPL1', 'SSN3', 'RIM15', 'CLA4', 'FPK1', 'ARK1', 'CDC7', 'SPS1', 'SCH9', 'YPK1', 'YAK1', 'KSS1', 'YPK2', 'CKA2', 'NPR1', 'CMK2', 'YCK1', 'PKC1', 'CMK1', 'CDC15', 'IRE1', 'HOG1', 'CDC5', 'IME2', 'NNK1', 'PAN3', 'KIC1', 'PRK1', 'BUD32', 'SSK2', 'CBK1', 'MPS1', 'SLT2', 'KIN4', 'PKH1', 'SKY1', 'RIO1', 'PKH2', 'KIN1', 'KIN2', 'CKA1', 'FUS3', 'RAD53', 'DBF20', 'KNS1', 'SWE1', 'HSL1', 'KDX1', 'HAL5', 'SMK1', 'STE20', 'TDA1', 'VHS1', 'ENV7', 'TPK3', 'KIN28', 'TPK1', 'MCK1', 'YCK2', 'SAT4', 'PRR1', 'AKL1', 'RIM11', 'DUN1', 'PTK2', 'ATG1', 'GIN4', 'KIN3', 'KKQ8', 'FMP48', 'ISR1', '[]', 'PTK1', 'IKS1', 'RCK1', 'CAK1', 'TOS3', 'HRK1', 'YGK3', 'PRR2', 'CHK1', 'MEK1', 'FRK1', 'PKH3', 'MRK1', 'SCY1']
IPR000961	['AGC-kinase, C-terminal']	13	['TPK2', 'DBF2', 'YPK3', 'RIM15', 'FPK1', 'SCH9', 'YPK1', 'YPK2', 'PKC1', 'CBK1', 'DBF20', 'TPK3', 'TPK1']
IPR013896	['Carbon catabolite-derepressing protein kinase, ubiquitin-associated domain']	1	['SNF1']
IPR032270	['AMPK, C-terminal adenylate sensor domain']	1	['SNF1']
IPR000573	['Aconitase A/isopropylmalate dehydratase small subunit, swivel domain']	4	['LEU1', 'ACO1', 'ACO2', 'LYS4']
IPR001030	['Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha domain']	4	['LEU1', 'ACO1', 'ACO2', 'LYS4']
IPR033121	['Peptidase family A1 domain']	9	['PEP4', 'YPS1', 'BAR1', 'MKC7', 'YPS3', 'YPS7', 'YPS6', 'YPS5', '[]']
IPR006204	['GHMP kinase N-terminal domain']	6	['ERG12', 'MVD1', 'GAL1', 'GAL3', 'THR1', 'ERG8']
IPR001810	['F-box domain']	11	['CDC4', 'MET30', 'DIA2', 'GRR1', 'UFO1', 'MDM30', 'SKP2', 'ELA1', 'DAS1', '[]', 'MFB1']
IPR031740	['Cell division control protein 4, dimerisation domain']	1	['CDC4']
IPR000651	['Ras-like guanine nucleotide exchange factor, N-terminal']	5	['LTE1', 'BUD5', 'BEM2', 'CDC25', 'SDC25']
IPR001895	['Ras guanine-nucleotide exchange factors catalytic domain']	5	['LTE1', 'BUD5', 'BEM2', 'CDC25', 'SDC25']
IPR002319	['Phenylalanyl-tRNA synthetase']	3	['MSF1', 'MSF1', 'FRS2']
IPR005121	['Ferrodoxin-fold anticodon-binding domain']	1	['MSF1']
IPR006195	['Aminoacyl-tRNA synthetase, class II']	7	['MSF1', 'HTS1', 'GRS1', 'GRS2', 'DIA4', '[]', 'THS1']
IPR001609	['Myosin head, motor domain']	5	['MYO1', 'MYO4', 'MYO3', 'MYO5', 'MYO2']
IPR004009	['Myosin, N-terminal, SH3-like']	3	['MYO1', 'MYO4', 'MYO2']
IPR000209	['Peptidase S8/S53 domain']	4	['PRB1', 'KEX2', 'RRT12', 'YSP3']
IPR010259	['Peptidase S8 propeptide/proteinase inhibitor I9']	2	['PRB1', 'YSP3']
IPR031309	['Large ribosomal subunit protein uL5, C-terminal']	3	['RPL11A', 'RPL11B', 'MRPL7']
IPR031310	['Large ribosomal subunit protein uL5, N-terminal']	3	['RPL11A', 'RPL11B', 'MRPL7']
IPR001584	['Integrase, catalytic core']	50	['TY1B-PR2', 'TY1B-PR3', 'TY1B-JR2', 'TY1B-MR1', 'TY1B-ML1', 'TY2B-DR3', 'TY2B-OR1', 'TY2B-OR2', 'TY3B-I', 'TY1B-OR', 'TY1B-DR3', 'TY1B-LR2', 'TY1B-JR1', 'TY1B-ER1', 'TY1B-DR1', 'TY1B-DR4', 'TY1B-NL1', 'TY1B-BR', 'TY1B-NL2', 'TY4B-P', 'TY1B-DR5', 'TY1B-DR6', 'TY4B-H', 'TY2B-GR2', 'TY4B-J', 'TY1B-ER2', 'TY1B-LR1', 'TY1B-PL', 'TY3B-G', 'TY1B-A', 'TY1B-LR3', 'TY1B-LR4', 'TY1B-PR1', 'TY2B-LR1', 'TY2B-C', 'TY1B-MR2', 'TY1B-GR3', 'TY2B-B', 'TY1B-H', 'TY2B-LR2', 'TY2B-F', 'TY1B-ML2', 'TY2B-DR2', 'TY1B-GR1', 'TY1B-GR2', 'TY1B-OL', 'TY2B-GR1', 'TY2B-DR1', 'TY1B-BL', 'truncated TYB']
IPR013103	['Reverse transcriptase, RNA-dependent DNA polymerase']	47	['TY1B-PR2', 'TY1B-PR3', 'TY1B-JR2', 'TY1B-MR1', 'TY1B-ML1', 'TY2B-DR3', 'TY2B-OR1', 'TY2B-OR2', 'TY1B-OR', 'TY1B-DR3', 'TY1B-LR2', 'TY1B-JR1', 'TY1B-ER1', 'TY1B-DR1', 'TY1B-DR4', 'TY1B-NL1', 'TY1B-BR', 'TY1B-NL2', 'TY1B-DR5', 'TY1B-DR6', 'TY4B-H', 'TY2B-GR2', 'TY4B-J', 'TY1B-ER2', 'TY1B-LR1', 'TY1B-PL', 'TY1B-A', 'TY1B-LR3', 'TY1B-LR4', 'TY1B-PR1', 'TY2B-LR1', 'TY2B-C', 'TY1B-MR2', 'TY1B-GR3', 'TY2B-B', 'TY1B-H', 'TY2B-LR2', 'TY2B-F', 'TY1B-ML2', 'TY2B-DR2', 'TY1B-GR1', 'TY1B-GR2', 'TY1B-OL', 'TY2B-GR1', 'TY2B-DR1', 'TY1B-BL', 'TY5A']
IPR002942	['RNA-binding S4 domain']	6	['RPS4B', 'IMP3', 'RPS9A', 'RPS9B', 'RPS4A', 'NAM9']
IPR005824	['KOW']	11	['RPS4B', 'SPT5', 'SPT5', 'SPT5', 'SPT5', 'RPL14A', 'RPS4A', 'RPL14B', 'RPL26B', 'RPL26A', 'MRPL40']
IPR013843	['Small ribosomal subunit protein eS4, N-terminal']	2	['RPS4B', 'RPS4A']
IPR013845	['Small ribosomal subunit protein eS4, central region']	2	['RPS4B', 'RPS4A']
IPR032277	['Small ribosomal subunit protein eS4, C-terminal domain']	2	['RPS4B', 'RPS4A']
IPR032440	['Small ribosomal subunit protein uS17, N-terminal']	2	['RPS11A', 'RPS11B']
IPR021131	['Large ribosomal subunit protein uL15/eL18']	4	['RPL18B', 'RPL18A', 'RPL28', 'MRPL10']
IPR027474	['L-asparaginase, N-terminal']	5	['ASP3-2', 'ASP3-1', 'ASP3-4', 'ASP3-3', 'ASP1']
IPR040919	['Asparaginase/glutaminase, C-terminal']	5	['ASP3-2', 'ASP3-1', 'ASP3-4', 'ASP3-3', 'ASP1']
IPR006856	['Mating-type protein MAT alpha 1, HMG-box']	2	['MATALPHA1', 'HMLALPHA1']
IPR000089	['Biotin/lipoyl attachment']	9	['PYC1', 'PDX1', 'KGD2', 'GCV3', 'PYC2', 'DUR1,2', 'LAT1', 'HFA1', 'ACC1']
IPR000891	['Pyruvate carboxyltransferase']	6	['PYC1', 'PYC2', 'LEU4', 'LEU9', 'LYS21', 'LYS20']
IPR003379	['Carboxylase, conserved domain']	2	['PYC1', 'PYC2']
IPR005481	['Biotin carboxylase-like, N-terminal domain']	5	['PYC1', 'PYC2', 'DUR1,2', 'HFA1', 'ACC1']
IPR005482	['Biotin carboxylase, C-terminal']	5	['PYC1', 'PYC2', 'DUR1,2', 'HFA1', 'ACC1']
IPR000938	['CAP Gly-rich domain']	4	['BIK1', 'NIP100', 'ALF1', 'PAC2']
IPR001452	['SH3 domain']	28	['FUS1', 'SHO1', 'PEX13', 'SLA1', 'SLA1', 'SLA1', 'YSC84', 'MYO3', 'BOI1', 'BZZ1', 'BZZ1', 'BUD14', 'HSE1', 'RVS167', 'BBC1', 'CYK3', 'BEM1', 'BEM1', 'LSB3', 'MYO5', 'CDC25', 'ABP1', 'BOI2', 'LSB1', 'HOF1', 'PIN3', 'NBP2', '[]']
IPR001005	['SANT/Myb domain']	32	['RAP1', 'REB1', 'REB1', 'REB1', 'REB1', 'ISW1', 'ISW1', 'DOT6', 'SNT1', 'SNT1', 'SWC4', 'RSC8', 'BDP1', 'SNT2', 'ADA2', 'ISW2', 'ISW2', 'SWI3', 'TBF1', 'TOD6', 'TOD6', 'CEF1', 'CEF1', 'NSI1', 'NSI1', 'NSI1', 'NSI1', 'BAS1', 'BAS1', 'BAS1', 'EAF1', 'RPI1']
IPR001357	['BRCT domain']	17	['RAP1', 'RAD9', 'RTT107', 'RTT107', 'RTT107', 'RTT107', 'RTT107', 'CHS5', 'RFC1', 'DPB11', 'DPB11', 'DPB11', 'NOP7', 'REV1', 'DNL4', 'DNL4', 'FCP1']
IPR015280	['Rap1, DNA-binding domain']	1	['RAP1']
IPR021661	['TRF2-interacting telomeric protein/Rap1, C-terminal']	1	['RAP1']
IPR035476	['Phosphoglucose isomerase, SIS domain 1']	1	['PGI1']
IPR035482	['Phosphoglucose isomerase, SIS domain 2']	1	['PGI1']
IPR013134	['RAD50, zinc hook']	1	['RAD50']
IPR038729	['Rad50/SbcC-type AAA domain']	2	['RAD50', 'SMC6']
IPR003601	['DNA topoisomerase, type IA, domain 2']	1	['TOP3']
IPR003602	['DNA topoisomerase, type IA, DNA-binding domain']	1	['TOP3']
IPR006171	['TOPRIM domain']	2	['TOP3', 'TOP2']
IPR013914	['Rad9-like Rad53-binding domain, fungi']	1	['RAD9']
IPR004843	['Calcineurin-like phosphoesterase domain, ApaH type']	20	['CMP2', 'PPZ1', 'PPN2', 'CNA1', 'PPH21', 'PPH3', 'MRE11', 'PPT1', 'DBR1', 'PPN1', 'SIT4', 'PPG1', 'PPH22', 'GLC7', 'PPQ1', 'PPZ2', 'DCR2', 'CDC1', 'TED1', 'SIA1']
IPR006186	['Serine/threonine-specific protein phosphatase/bis(5-nucleosyl)-tetraphosphatase']	12	['CMP2', 'PPZ1', 'CNA1', 'PPH21', 'PPH3', 'PPT1', 'SIT4', 'PPG1', 'PPH22', 'GLC7', 'PPQ1', 'PPZ2']
IPR002130	['Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain']	9	['CPR1', 'CPR6', 'CPR7', 'CPR3', 'CWC27', 'CPR2', 'CPR4', 'CPR5', 'CPR8']
IPR001623	['DnaJ domain']	21	['SEC63', 'SCJ1', 'YDJ1', 'MDJ1', 'PAM18', 'SIS1', 'JAC1', 'ZUO1', 'DJP1', 'APJ1', 'JEM1', 'JJJ3', 'CWC23', 'JJJ1', 'XDJ1', 'ERJ5', 'JJJ2', 'MDJ2', 'HLJ1', 'JID1', 'CAJ1']
IPR004179	['Sec63 domain']	6	['SEC63', 'BRR2', 'BRR2', 'HFM1', 'SLH1', 'SLH1']
IPR006575	['RWD domain']	5	['GCN2', 'GIR2', 'MTC5', 'YIH1', '[]']
IPR024435	['Histidyl tRNA synthetase-related domain']	1	['GCN2']
IPR041715	['Class II Histidinyl-tRNA synthetase (HisRS)-like catalytic core domain']	1	['GCN2']
IPR040586	['PheRS DNA binding domain 2']	1	['FRS2']
IPR040725	['PheRS, DNA binding domain 3']	1	['FRS2']
IPR001017	['Dehydrogenase, E1 component']	2	['PDA1', 'KGD1']
IPR004167	['Peripheral subunit-binding domain']	2	['PDX1', 'LAT1']
IPR007192	['Cdc23']	1	['CDC23']
IPR033644	['Ferrochelatase, C-terminal']	1	['HEM15']
IPR033659	['Ferrochelatase, N-terminal']	1	['HEM15']
IPR001296	['Glycosyl transferase, family 1']	4	['ALG1', 'SPT14', 'ALG2', 'ALG11']
IPR002109	['Glutaredoxin']	8	['GRX2', 'GRX6', 'GRX4', 'GRX5', 'GRX3', 'GRX1', 'GRX8', 'GRX7']
IPR014025	['Glutaredoxin subgroup']	4	['GRX2', 'GRX6', 'GRX1', 'GRX7']
IPR022672	['Hexokinase, N-terminal']	5	['GLK1', 'HXK1', 'HXK2', 'EMI2', 'NGK1']
IPR022673	['Hexokinase, C-terminal']	5	['GLK1', 'HXK1', 'HXK2', 'EMI2', 'NGK1']
IPR001078	['2-oxoacid dehydrogenase acyltransferase, catalytic domain']	2	['KGD2', 'LAT1']
IPR046364	['Exocyst complex subunit Exo70, C-terminal']	1	['EXO70']
IPR033789	['Gal11, coactivator domain']	1	['GAL11']
IPR036546	['Mediator complex subunit 15, KIX domain']	1	['GAL11']
IPR000897	['Signal recognition particle, SRP54 subunit, GTPase domain']	2	['SRP54', 'SRP101']
IPR004125	['Signal recognition particle, SRP54 subunit, M-domain']	1	['SRP54']
IPR013822	['Signal recognition particle SRP54, helical bundle']	2	['SRP54', 'SRP101']
IPR001650	['Helicase, C-terminal domain-like']	79	['DBP3', 'DBP5', 'RAD16', 'FUN30', 'STH1', 'BRR2', 'SKI2', 'ISW1', 'RRP3', 'DBP8', 'MTR4', 'INO80', 'SWR1', 'DED1', 'PRP5', 'PRP22', 'DBP2', 'MAK5', 'HFM1', 'SLH1', 'SLH1', 'ECM16', 'HRQ1', 'PRP2', 'HCA4', 'PRP28', 'DBP1', 'RAD5', 'RAD54', 'RDH54', 'SUB2', 'ISW2', 'TIF1', 'PRP16', 'SUV3', 'CHD1', 'DHR2', 'DHH1', 'ROK1', 'PRP43', 'MRH4', 'DBP6', 'DBP9', 'IRC20', 'FAL1', 'MSS116', 'SNF2', 'SPB4', 'MOT1', 'DRS1', 'SGS1', 'RAD26', 'MPH1', 'SSL2', 'HAS1', 'ULS1', 'DBP10', 'YRF1-4', 'YRF1-1', 'YRF1-2', 'IRC5', '[]', 'YRF1-7', 'DBP7', 'YRF1-3', 'YRF1-6', 'IRC3', 'YRF1-5', '[]', '[]', '[]', '[]', 'YRF1-8', '[]', '[]', '[]', '[]', '[]', '[]']
IPR011545	['DEAD/DEAH box helicase domain']	58	['DBP3', 'DBP5', 'BRR2', 'BRR2', 'SKI2', 'RRP3', 'DBP8', 'MTR4', 'DED1', 'PRP5', 'PRP22', 'DBP2', 'MAK5', 'HFM1', 'ECM16', 'HRQ1', 'PRP2', 'HCA4', 'PRP28', 'DBP1', 'SUB2', 'TIF1', 'PRP16', 'DHR2', 'DHH1', 'ROK1', 'PRP43', 'MRH4', 'DBP6', 'DBP9', 'FAL1', 'MSS116', 'SPB4', 'DRS1', 'SGS1', 'HAS1', 'DBP10', 'YRF1-4', 'YRF1-1', 'YRF1-2', '[]', 'YRF1-7', 'DBP7', 'YRF1-3', 'YRF1-6', 'YRF1-5', '[]', '[]', '[]', '[]', 'YRF1-8', '[]', '[]', '[]', '[]', '[]', '[]', '[]']
IPR014014	['RNA helicase, DEAD-box type, Q motif']	20	['DBP5', 'RRP3', 'DBP8', 'DED1', 'PRP5', 'DBP2', 'MAK5', 'HCA4', 'DBP1', 'SUB2', 'TIF1', 'DHH1', 'ROK1', 'DBP9', 'FAL1', 'SPB4', 'DRS1', 'HAS1', 'DBP10', 'DBP7']
IPR003029	['S1 domain']	16	['SUI2', 'RPB7', 'PRP22', 'RRP5', 'RRP5', 'RRP5', 'RRP5', 'RRP5', 'RRP5', 'RRP5', 'RRP5', 'RRP5', 'RRP5', 'RRP5', 'RRP5', 'DIS3']
IPR024672	['Agglutinin-like protein, N-terminal']	1	['SAG1']
IPR005475	['Transketolase-like, pyrimidine-binding domain']	4	['KGD1', 'PDB1', 'TKL1', 'TKL2']
IPR031717	['Multifunctional 2-oxoglutarate metabolism enzyme, C-terminal']	1	['KGD1']
IPR032106	['2-oxoglutarate dehydrogenase E1 component, N-terminal domain']	1	['KGD1']
IPR013087	['Zinc finger C2H2-type']	107	['ACE2', 'ACE2', 'MIG3', 'MIG3', 'OTU1', 'ZAP1', 'ZAP1', 'ZAP1', 'ZAP1', 'ZAP1', 'ZAP1', 'ZAP1', 'MIG2', 'MIG2', 'MOT3', 'MOT3', 'GIS1', 'GIS1', 'VMS1', 'HEL2', 'HEL2', 'HEL2', 'ADR1', 'ADR1', 'SFP1', 'SFP1', 'SFP1', 'REI1', 'REI1', 'RPH1', 'RPH1', 'AZF1', 'AZF1', 'AZF1', 'AZF1', 'STP1', 'STP1', 'MET31', 'MET31', 'SWI5', 'SWI5', 'MIG1', 'MIG1', 'MET32', 'MET32', 'PEP7', 'RIM101', 'RIM101', 'RIM101', 'NRG1', 'NRG1', 'BRE1', 'MSN2', 'MSN2', 'STP2', 'STP2', 'CRZ1', 'CRZ1', 'CRZ1', 'RPN4', 'RME1', 'RME1', 'RME1', 'NRG2', 'NRG2', 'MSN4', 'MSN4', 'RSF2', 'RSF2', 'JJJ1', 'JJJ1', 'TDA9', 'TDA9', 'FZF1', 'FZF1', 'FZF1', 'FZF1', 'FZF1', 'PZF1', 'PZF1', 'PZF1', 'PZF1', 'PZF1', 'PZF1', 'PZF1', 'PZF1', 'USV1', 'USV1', 'CMR3', 'CMR3', 'STP4', 'STP4', 'STP4', '[]', '[]', 'RGM1', 'RGM1', 'STP3', 'STP3', 'SNU23', '[]', '[]', '[]', '[]', '[]', '[]', '[]']
IPR015348	['Clathrin, heavy chain, linker, core motif']	1	['CHC1']
IPR007120	['DNA-directed RNA polymerase, subunit 2, hybrid-binding domain']	3	['RPA135', 'RPB2', 'RET1']
IPR007641	['RNA polymerase Rpb2, domain 7']	3	['RPA135', 'RPB2', 'RET1']
IPR007642	['RNA polymerase Rpb2, domain 2']	3	['RPA135', 'RPB2', 'RET1']
IPR007644	['RNA polymerase, beta subunit, protrusion']	3	['RPA135', 'RPB2', 'RET1']
IPR007645	['RNA polymerase Rpb2, domain 3']	3	['RPA135', 'RPB2', 'RET1']
IPR009674	['DNA-directed RNA polymerase I subunit RPA2, domain 4']	1	['RPA135']
IPR046361	['Exocyst complex subunit EXOC6/Sec15, C-terminal']	1	['SEC15']
IPR048359	['Exocyst complex component EXOC6/Sec15, N-terminal domain']	1	['SEC15']
IPR013194	['Histone deacetylase interacting domain']	1	['SIN3']
IPR031693	['Sin3, C-terminal']	1	['SIN3']
IPR013724	['GIT, Spa2 homology (SHD) domain']	6	['SPA2', 'SPA2', 'SPA2', 'SPA2', 'SPH1', 'SPH1']
IPR022018	['ARF GTPase-activating protein GIT1, C-terminal']	1	['SPA2']
IPR020189	['Translation elongation factor, IF5A C-terminal']	2	['HYP2', 'ANB1']
IPR048670	['Translation initiation factor 5A-like, N-terminal']	2	['HYP2', 'ANB1']
IPR001660	['Sterile alpha motif domain']	4	['STE11', 'BOI1', 'VTS1', 'BOI2']
IPR029458	['Ras-binding domain of Byr2']	1	['STE11']
IPR000980	['SH2 domain']	1	['SPT6']
IPR006641	['YqgF/RNase H-like domain']	1	['SPT6']
IPR028083	['Spt6 acidic, N-terminal domain']	1	['SPT6']
IPR028088	['Helix-turn-helix DNA-binding domain of Spt6']	1	['SPT6']
IPR028231	['Transcription elongation factor Spt6, YqgF domain']	1	['SPT6']
IPR032706	['Transcription elongation factor Spt6, helix-hairpin-helix motif']	1	['SPT6']
IPR035018	['Spt6, SH2 domain, C terminus']	1	['SPT6']
IPR049540	['Spt6-like, S1/OB domain']	1	['SPT6']
IPR001180	['Citron homology (CNH) domain']	4	['VPS3', 'ROM2', 'TUS1', 'ROM1']
IPR001900	['Ribonuclease II/R']	3	['SSD1', 'DSS1', 'DIS3']
IPR041093	['DIS3-like exonuclease 2, C-terminal']	1	['SSD1']
IPR041505	['Dis3-like cold-shock domain 2']	2	['SSD1', 'DIS3']
IPR004367	['Cyclin, C-terminal domain']	6	['CLB1', 'CLB2', 'CLB6', 'CLB3', 'CLB5', 'CLB4']
IPR006671	['Cyclin, N-terminal']	16	['CLB1', 'CLB2', 'CLB6', 'SSN8', 'PCL9', 'CTK2', 'CLB3', 'CLB5', 'CLN3', 'PCL1', 'PCL2', 'CCL1', 'CLN2', 'PCL5', 'CLN1', 'CLB4']
IPR009071	['High mobility group box domain']	10	['ROX1', 'HMO1', 'NHP6A', 'NHP6B', 'ABF2', 'ABF2', 'NHP10', 'SPP41', 'IXR1', 'IXR1']
IPR008847	['Suppressor of forked']	2	['RNA14', 'RNA14']
IPR001305	['Heat shock protein DnaJ, cysteine-rich domain']	5	['SCJ1', 'YDJ1', 'MDJ1', 'APJ1', 'XDJ1']
IPR002939	['Chaperone DnaJ, C-terminal']	6	['SCJ1', 'YDJ1', 'MDJ1', 'SIS1', 'APJ1', 'XDJ1']
IPR024326	['Ribosomal RNA-processing protein 7, C-terminal domain']	1	['RRP7']
IPR040447	['Rrp7, RRM-like N-terminal domain']	1	['RRP7']
IPR000192	['Aminotransferase class V domain']	4	['NFS1', 'AGX1', 'SER1', 'BNA5']
IPR013149	['Alcohol dehydrogenase-like, C-terminal']	17	['ADH7', 'ADH2', 'ADH3', 'SFA1', 'ADH6', 'ADH1', 'BDH1', 'SOR1', 'BDH2', 'XYL2', 'ADH5', 'ZTA1', 'SOR2', '[]', '[]', '[]', '[]']
IPR013154	['Alcohol dehydrogenase-like, N-terminal']	16	['ADH7', 'ADH2', 'ADH3', 'SFA1', 'ADH6', 'ADH1', 'BDH1', 'SOR1', 'BDH2', 'XYL2', 'AST1', 'ADH5', 'YIM1', 'ZTA1', 'SOR2', 'AST2']
IPR020843	['Polyketide synthase, enoylreductase domain']	14	['ADH7', 'ADH2', 'ADH3', 'ADH1', 'SOR1', 'XYL2', 'AST1', 'ADH5', 'ZTA1', 'SOR2', 'AST2', '[]', '[]', '[]']
IPR012972	['NLE']	2	['RSA4', 'YTM1']
IPR031850	['Fungal kinase associated-1 domain']	2	['KCC4', 'GIN4']
IPR005324	['Small ribosomal subunit protein uS5, C-terminal']	2	['RPS2', 'MRPS5']
IPR013810	['Small ribosomal subunit protein uS5, N-terminal']	2	['RPS2', 'MRPS5']
