Domain Accession	Domain name	Count	Proteins	Accession proteins	Enrichment Score	Ratio in Protein Set	Ratio in Yeast Set	Hypergeometric p-value
IPR000719	Prot_kinase_dom	19	['Bck1', 'Bud32', 'Cbk1', 'Cdc28', 'Cla4', 'Fus3', 'Gin4', 'Kin1', 'Mps1', 'Pho85', 'Pkc1', 'Skm1', 'Slt2', 'Smk1', 'Snf1', 'Ste11', 'Ste20', 'Ste7', 'Swe1']	['Q01389', 'P53323', 'P53894', 'P00546', 'P48562', 'P16892', 'Q12263', 'P13185', 'P54199', 'P17157', 'P24583', 'Q12469', 'Q00772', 'P41808', 'P06782', 'P23561', 'Q03497', 'P06784', 'P32944']	6.1309741945335166	0.08558558558558559	0.013959540991364013	1.7809955633404744e-10
IPR000270	PB1_dom	2	['Bem1', 'Cdc24']	['P29366', 'P11433']	38.07657657657658	0.009009009009009009	0.0002366023896841358	0.0006867124019559397
IPR001452	SH3_domain	13	['Bem1', 'Bem1', 'Boi1', 'Boi2', 'Bud14', 'Bzz1', 'Bzz1', 'Hse1', 'Lsb1', 'Myo3', 'Myo5', 'Pin3', 'Sho1']	['P29366', 'P29366', 'P38041', 'P39969', 'P27637', 'P38822', 'P38822', 'P38753', 'P53281', 'P36006', 'Q04439', 'Q06449', 'P40073']	17.678410553410554	0.05855855855855856	0.0033124334555779014	5.2692664188230934e-14
IPR001683	PX_dom	2	['Bem1', 'Bem3']	['P29366', 'P32873']	5.076876876876876	0.009009009009009009	0.0017745179226310187	0.05759799670521192
IPR000651	Ras-like_Gua-exchang_fac_N	3	['Bem2', 'Bud5', 'Lte1']	['P39960', 'P25300', 'P07866']	22.845945945945946	0.013513513513513514	0.0005915059742103396	0.0001718898649763849
IPR001849	PH_domain	12	['Bem2', 'Bem3', 'Boi1', 'Boi2', 'Bud4', 'Cdc24', 'Cla4', 'Osh2', 'Osh3', 'Skm1', 'Slm1', 'Swh1']	['P39960', 'P32873', 'P38041', 'P39969', 'P47136', 'P11433', 'P48562', 'Q12451', 'P38713', 'Q12469', 'P40485', 'P35845']	14.739319965126418	0.05405405405405406	0.003667337040104105	7.27839009780483e-12
IPR001895	RASGEF_cat_dom	3	['Bem2', 'Bud5', 'Lte1']	['P39960', 'P25300', 'P07866']	22.845945945945946	0.013513513513513514	0.0005915059742103396	0.0001718898649763849
IPR040144	RAP1GDS1	1	['Bem4']	['P39011']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR039604	Bfr1	1	['Bfr1']	['P38934']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR000938	CAP-Gly_domain	2	['Bik1', 'Nip100']	['P11709', 'P33420']	19.03828828828829	0.009009009009009009	0.0004732047793682716	0.003978650060965632
IPR013745	Bit61/PRR5	1	['Bit61']	['P47041']	19.03828828828829	0.0045045045045045045	0.0002366023896841358	0.05183901810841586
IPR023410	14-3-3_domain	2	['Bmh1', 'Bmh2']	['P29311', 'P34730']	38.07657657657658	0.009009009009009009	0.0002366023896841358	0.0006867124019559397
IPR010472	FH3_dom	1	['Bni1']	['P41832']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR010473	GTPase-bd	2	['Bni1', 'Bnr1']	['P41832', 'P40450']	38.07657657657658	0.009009009009009009	0.0002366023896841358	0.0006867124019559397
IPR014767	DAD_dom	2	['Bni1', 'Bnr1']	['P41832', 'P40450']	38.07657657657658	0.009009009009009009	0.0002366023896841358	0.0006867124019559397
IPR015425	FH2_Formin	2	['Bni1', 'Bnr1']	['P41832', 'P40450']	38.07657657657658	0.009009009009009009	0.0002366023896841358	0.0006867124019559397
IPR014768	GBD/FH3_dom	1	['Bnr1']	['P40450']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR001660	SAM	3	['Boi1', 'Boi2', 'Ste11']	['P38041', 'P39969', 'P23561']	28.557432432432435	0.013513513513513514	0.0004732047793682716	7.011720205946046e-05
IPR001841	Znf_RING	4	['Bre1', 'Dma1', 'Dma2', 'Far1']	['Q07457', 'P38823', 'P53924', 'P21268']	4.2307307307307305	0.018018018018018018	0.004258843014314445	0.01412234661781099
IPR013087	Znf_C2H2_type	10	['Bre1', 'Fzf1', 'Fzf1', 'Fzf1', 'Fzf1', 'Fzf1', 'Mig2', 'Mig2', 'Mig3', 'Mig3']	['Q07457', 'P32805', 'P32805', 'P32805', 'P32805', 'P32805', 'P53035', 'P53035', 'P39943', 'P39943']	3.5585585585585586	0.04504504504504504	0.012658227848101266	0.0004838441105742012
IPR000008	C2_dom	3	['Bud2', 'Pkc1', 'Rsp5']	['P33314', 'P24583', 'P39940']	5.192260442260442	0.013513513513513514	0.002602626286525494	0.01904133677687517
IPR001936	RasGAP_dom	2	['Bud2', 'Iqg1']	['P33314', 'Q12280']	19.03828828828829	0.009009009009009009	0.0004732047793682716	0.003978650060965632
IPR000219	DH-domain	4	['Bud3', 'Cdc24', 'Fus2', 'Rom2']	['P25558', 'P11433', 'Q05670', 'P51862']	25.384384384384386	0.018018018018018018	0.0007098071690524074	6.665898132722246e-06
IPR021895	Bud3_N	1	['Bud3']	['P25558']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR001748	BUD31	1	['Bud31']	['P25337']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR005613	AIP3_C	1	['Bud6']	['P41697']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR015374	ChAPs	1	['Bud7']	['Q08754']	9.519144144144144	0.0045045045045045045	0.0004732047793682716	0.10100223043975808
IPR001060	FCH_dom	2	['Bzz1', 'Rgd1']	['P38822', 'P38339']	19.03828828828829	0.009009009009009009	0.0004732047793682716	0.003978650060965632
IPR031160	F_BAR	2	['Bzz1', 'Rgd1']	['P38822', 'P38339']	19.03828828828829	0.009009009009009009	0.0004732047793682716	0.003978650060965632
IPR002189	CapZ_alpha	1	['Cap1']	['P28495']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR001698	CAPZB	1	['Cap2']	['P13517']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR000961	AGC-kinase_C	2	['Cbk1', 'Pkc1']	['P53894', 'P24583']	5.857934857934858	0.009009009009009009	0.0015379155329468827	0.04427287121608945
IPR002423	Cpn60/GroEL/TCP-1	3	['Cct2', 'Cct6', 'Cct7']	['P39076', 'P39079', 'P42943']	14.278716216216218	0.013513513513513514	0.0009464095587365432	0.00090773545664231
IPR030379	G_SEPTIN_dom	2	['Cdc11', 'Cdc12']	['P32458', 'P32468']	10.87902187902188	0.009009009009009009	0.0008281083638944754	0.013217240001380946
IPR001715	CH_dom	2	['Cdc24', 'Iqg1']	['P11433', 'Q12280']	9.519144144144144	0.009009009009009009	0.0009464095587365432	0.017320408183130583
IPR013855	Cdc37_N_dom	1	['Cdc37']	['P06101']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR013873	Cdc37_C	1	['Cdc37']	['P06101']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR013874	Cdc37_Hsp90-bd	1	['Cdc37']	['P06101']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR041960	GGTase_I_beta	1	['Cdc43']	['P18898']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR015348	Clathrin_H-chain_linker_core	1	['Chc1']	['P22137']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR001357	BRCT_dom	1	['Chs5']	['Q12114']	2.239798622151563	0.0045045045045045045	0.0020111203123151546	0.36419966851565616
IPR003961	FN3_dom	2	['Chs5', 'Yel043w']	['Q12114', 'P32618']	38.07657657657658	0.009009009009009009	0.0002366023896841358	0.0006867124019559397
IPR031673	Chs5_N	1	['Chs5']	['Q12114']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR007859	ETF-QO/FixX_C	1	['Cir2']	['Q08822']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR049398	ETF-QO/FixC_UQ-bd	1	['Cir2']	['Q08822']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR000095	CRIB_dom	5	['Cla4', 'Gic1', 'Gic2', 'Skm1', 'Ste20']	['P48562', 'P38785', 'Q06648', 'Q12469', 'Q03497']	38.07657657657657	0.02252252252252252	0.0005915059742103396	1.1954407592718786e-08
IPR006671	Cyclin_N	5	['Cln2', 'Cln3', 'Pcl1', 'Pcl2', 'Pcl9']	['P20438', 'P13365', 'P24867', 'P25693', 'Q12477']	11.89893018018018	0.02252252252252252	0.0018928191174730864	4.1183180430298884e-05
IPR001373	Cullin_N	1	['Cul3']	['P53202']	12.692192192192193	0.0045045045045045045	0.0003549035845262037	0.07674633534777257
IPR019559	Cullin_neddylation_domain	1	['Cul3']	['P53202']	12.692192192192193	0.0045045045045045045	0.0003549035845262037	0.07674633534777257
IPR027357	DOCKER_dom	1	['Dck1']	['Q06409']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR016900	Alg10	1	['Die2']	['P50076']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR000253	FHA_dom	2	['Dma1', 'Dma2']	['P38823', 'P53924']	4.759572072072072	0.009009009009009009	0.0018928191174730864	0.06471609565597487
IPR032630	P_typ_ATPase_c	2	['Dnf1', 'Dnf2']	['P32660', 'Q12675']	15.23063063063063	0.009009009009009009	0.0005915059742103396	0.0065164901916138634
IPR032631	P-type_ATPase_N	2	['Dnf1', 'Dnf2']	['P32660', 'Q12675']	15.23063063063063	0.009009009009009009	0.0005915059742103396	0.0065164901916138634
IPR044492	P_typ_ATPase_HD_dom	3	['Dnf1', 'Dnf2', 'Pmr1']	['P32660', 'Q12675', 'P13586']	7.615315315315315	0.013513513513513514	0.0017745179226310187	0.0064374183853974035
IPR003593	AAA+_ATPase	3	['Dyn1', 'Dyn1', 'Dyn1']	['P36022', 'P36022', 'P36022']	1.872618520159504	0.013513513513513514	0.007216372885366142	0.2153674777794624
IPR004273	Dynein_heavy_D6_P-loop	1	['Dyn1']	['P36022']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR013594	Dynein_heavy_tail	1	['Dyn1']	['P36022']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR013602	Dynein_heavy_linker	1	['Dyn1']	['P36022']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR024743	Dynein_HC_stalk	1	['Dyn1']	['P36022']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR035706	AAA_9	1	['Dyn1']	['P36022']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR041658	AAA_lid_11	1	['Dyn1']	['P36022']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR048404	DYN1_lid	1	['Dyn1']	['P36022']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR054354	DYNC2H1-like_lid	1	['Dyn1']	['P36022']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR001372	Dynein_light_chain_typ-1/2	1	['Dyn2']	['Q02647']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR022780	Dynein_light_int_chain	1	['Dyn3']	['Q04949']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR001251	CRAL-TRIO_dom	2	['Ecm25', 'Sfh5']	['P32525', 'P47008']	10.87902187902188	0.009009009009009009	0.0008281083638944754	0.013217240001380946
IPR000261	EH_dom	5	['Ede1', 'Ede1', 'Ede1', 'Pan1', 'Pan1']	['P34216', 'P34216', 'P34216', 'P32521', 'P32521']	21.153653653653652	0.02252252252252252	0.0010647107535786111	1.381464515667889e-06
IPR015940	UBA	1	['Ede1']	['P34216']	4.759572072072072	0.0045045045045045045	0.0009464095587365432	0.19184430369039066
IPR037289	Elp2	1	['Elp2']	['P42935']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR000182	GNAT_dom	1	['Elp3']	['Q02908']	2.538438438438438	0.0045045045045045045	0.0017745179226310187	0.3293741005360074
IPR006638	Elp3/MiaA/NifB-like_rSAM	1	['Elp3']	['Q02908']	12.692192192192193	0.0045045045045045045	0.0003549035845262037	0.07674633534777257
IPR032432	Radical_SAM_C	1	['Elp3']	['Q02908']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR008728	Elongator_complex_protein_4	1	['Elp4']	['Q02884']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR018627	ELP6	1	['Elp6']	['Q04868']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR013809	ENTH	2	['Ent1', 'Ent2']	['Q12518', 'Q05785']	15.23063063063063	0.009009009009009009	0.0005915059742103396	0.0065164901916138634
IPR003377	Cornichon	1	['Erv14']	['P53173']	19.03828828828829	0.0045045045045045045	0.0002366023896841358	0.05183901810841586
IPR000297	PPIase_PpiC	1	['Ess1']	['P22696']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR001202	WW_dom	4	['Ess1', 'Rsp5', 'Rsp5', 'Rsp5']	['P22696', 'P39940', 'P39940', 'P39940']	16.922922922922922	0.018018018018018018	0.0010647107535786111	5.260508368386046e-05
IPR046364	Exo70_C	1	['Exo70']	['P19658']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR012946	X8	1	['Gas1']	['P22146']	19.03828828828829	0.0045045045045045045	0.0002366023896841358	0.05183901810841586
IPR031850	Fungal_KA1_dom	1	['Gin4']	['Q12263']	19.03828828828829	0.0045045045045045045	0.0002366023896841358	0.05183901810841586
IPR004843	Calcineurin-like_PHP_ApaH	1	['Glc7']	['P32598']	1.9038288288288288	0.0045045045045045045	0.002366023896841358	0.413090745815646
IPR006186	Ser/Thr-sp_prot-phosphatase	1	['Glc7']	['P32598']	3.1730480480480483	0.0045045045045045045	0.0014196143381048148	0.27354410679070784
IPR031675	STPPase_N	1	['Glc7']	['P32598']	9.519144144144144	0.0045045045045045045	0.0004732047793682716	0.10100223043975808
IPR001019	Gprotein_alpha_su	1	['Gpa2']	['P10823']	19.03828828828829	0.0045045045045045045	0.0002366023896841358	0.05183901810841586
IPR018859	BAR_dom-cont	1	['Gvp36']	['P40531']	19.03828828828829	0.0045045045045045045	0.0002366023896841358	0.05183901810841586
IPR000648	Oxysterol-bd	4	['Hes1', 'Kes1', 'Osh6', 'Osh7']	['P35843', 'P35844', 'Q02201', 'P38755']	38.07657657657658	0.018018018018018018	0.0004732047793682716	4.633155493074517e-07
IPR039295	MSB2	2	['Hkr1', 'Msb2']	['P41809', 'P32334']	38.07657657657658	0.009009009009009009	0.0002366023896841358	0.0006867124019559397
IPR003594	HATPase_dom	2	['Hsc82', 'Hsp82']	['P15108', 'P02829']	15.23063063063063	0.009009009009009009	0.0005915059742103396	0.0065164901916138634
IPR020575	Hsp90_N	2	['Hsc82', 'Hsp82']	['P15108', 'P02829']	38.07657657657658	0.009009009009009009	0.0002366023896841358	0.0006867124019559397
IPR002014	VHS_dom	1	['Hse1']	['P38753']	9.519144144144144	0.0045045045045045045	0.0004732047793682716	0.10100223043975808
IPR035075	PRMT5	1	['Hsl7']	['P38274']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR035247	PRMT5_TIM	1	['Hsl7']	['P38274']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR035248	PRMT5_C	1	['Hsl7']	['P38274']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR000300	IPPc	1	['Inp54']	['Q08227']	9.519144144144144	0.0045045045045045045	0.0004732047793682716	0.10100223043975808
IPR000593	RasGAP_C	1	['Iqg1']	['Q12280']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR028133	Dynamitin	1	['Jnm1']	['P36224']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR001772	KA1_dom	1	['Kin1']	['P13185']	19.03828828828829	0.0045045045045045045	0.0002366023896841358	0.05183901810841586
IPR001752	Kinesin_motor_dom	2	['Kip3', 'Smy1']	['P53086', 'P32364']	12.692192192192193	0.009009009009009009	0.0007098071690524074	0.009606178371543641
IPR000697	WH1/EVH1_dom	1	['Las17']	['Q12446']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR003124	WH2_dom	3	['Las17', 'Vrp1', 'Vrp1']	['Q12446', 'P37370', 'P37370']	38.07657657657658	0.013513513513513514	0.0003549035845262037	1.7876787177086477e-05
IPR037588	MLST8	1	['Lst8']	['P41318']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR003163	Tscrpt_reg_HTH_APSES-type	2	['Mbp1', 'Swi4']	['P39678', 'P25302']	15.23063063063063	0.009009009009009009	0.0005915059742103396	0.0065164901916138634
IPR002048	EF_hand_dom	5	['Mlc1', 'Mlc1', 'Mlc2', 'Pef1', 'Pef1']	['P53141', 'P53141', 'Q06580', 'P53238', 'P53238']	10.020151730678046	0.02252252252252252	0.00224772270199929	0.00010278639125637696
IPR005301	MOB_kinase_act_fam	1	['Mob2']	['P43563']	19.03828828828829	0.0045045045045045045	0.0002366023896841358	0.05183901810841586
IPR014891	DWNN_domain	1	['Mpe1']	['P35728']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR012965	Msb1/Mug8_dom	1	['Msb1']	['P21339']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR000195	Rab-GAP-TBC_dom	2	['Msb3', 'Msb4']	['P48566', 'Q12317']	6.923013923013922	0.009009009009009009	0.001301313143262747	0.03230712699536245
IPR002893	Znf_MYND	1	['Mub1']	['Q03162']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR001609	Myosin_head_motor_dom	4	['Myo1', 'Myo2', 'Myo3', 'Myo5']	['P08964', 'P19524', 'P36006', 'Q04439']	30.46126126126126	0.018018018018018018	0.0005915059742103396	2.268760116213319e-06
IPR004009	Myosin_N	2	['Myo1', 'Myo2']	['P08964', 'P19524']	25.384384384384386	0.009009009009009009	0.0003549035845262037	0.0020243836315553287
IPR002710	Dilute_dom	1	['Myo2']	['P19524']	12.692192192192193	0.0045045045045045045	0.0003549035845262037	0.07674633534777257
IPR046943	Fungal_Myo2/2A_CBD	1	['Myo2']	['P19524']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR010926	Myosin_TH1	2	['Myo3', 'Myo5']	['P36006', 'Q04439']	38.07657657657658	0.009009009009009009	0.0002366023896841358	0.0006867124019559397
IPR000504	RRM_dom	9	['Nab3', 'Nop13', 'Nop13', 'Nrd1', 'Nrp1', 'Pub1', 'Pub1', 'Pub1', 'Whi3']	['P38996', 'P53883', 'P53883', 'P53617', 'P32770', 'P32588', 'P32588', 'P32588', 'P34761']	3.426891891891892	0.04054054054054054	0.011830119484206791	0.0012100277769955547
IPR006569	CID_dom	1	['Nrd1']	['P53617']	12.692192192192193	0.0045045045045045045	0.0003549035845262037	0.07674633534777257
IPR048892	Nrd1_Seb1_dom2	1	['Nrd1']	['P53617']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR001876	Znf_RanBP2	2	['Nrp1', 'Nrp1']	['P32770', 'P32770']	19.03828828828829	0.009009009009009009	0.0004732047793682716	0.003978650060965632
IPR017252	Dynein_regulator_LIS1	1	['Pac1']	['P39946']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR050687	Dynein_IC	1	['Pac11']	['P40960']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR013182	DUF1720	2	['Pan1', 'Pan1']	['P32521', 'P32521']	38.07657657657658	0.009009009009009009	0.0002366023896841358	0.0006867124019559397
IPR003439	ABC_transporter-like_ATP-bd	1	['Pat1']	['P34230']	0.7184259731429542	0.0045045045045045045	0.006269963326629599	0.7570626622641193
IPR011527	ABC1_TM_dom	1	['Pat1']	['P34230']	2.0040303461356093	0.0045045045045045045	0.00224772270199929	0.3972244703043427
IPR000717	PCI_dom	4	['Pci8', 'Rpg1', 'Thp1', 'Thp3']	['P40512', 'P38249', 'Q08231', 'Q12049']	10.87902187902188	0.018018018018018018	0.0016562167277889507	0.00037675069060625325
IPR002219	PE/DAG-bd	2	['Pkc1', 'Pkc1']	['P24583', 'P24583']	38.07657657657658	0.009009009009009009	0.0002366023896841358	0.0006867124019559397
IPR011072	HR1_rho-bd	2	['Pkc1', 'Pkc1']	['P24583', 'P24583']	38.07657657657658	0.009009009009009009	0.0002366023896841358	0.0006867124019559397
IPR004014	ATPase_P-typ_cation-transptr_N	1	['Pmr1']	['P13586']	5.43951093951094	0.0045045045045045045	0.0008281083638944754	0.17002881675313702
IPR006068	ATPase_P-typ_cation-transptr_C	1	['Pmr1']	['P13586']	7.615315315315315	0.0045045045045045045	0.0005915059742103396	0.12462366550457386
IPR007148	SSU_processome_Utp12	1	['Pwp2']	['P25635']	12.692192192192193	0.0045045045045045045	0.0003549035845262037	0.07674633534777257
IPR024977	Apc4-like_WD40_dom	1	['Pwp2']	['P25635']	9.519144144144144	0.0045045045045045045	0.0004732047793682716	0.10100223043975808
IPR001781	Znf_LIM	6	['Pxl1', 'Pxl1', 'Rga1', 'Rga1', 'Rga2', 'Rga2']	['P36166', 'P36166', 'P39083', 'P39083', 'Q06407', 'Q06407']	25.384384384384386	0.02702702702702703	0.0010647107535786111	2.4135115060964e-08
IPR016137	RGS	1	['Rax1']	['Q08760']	12.692192192192193	0.0045045045045045045	0.0003549035845262037	0.07674633534777257
IPR024982	Rax2-like_C	1	['Rax2']	['Q12465']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR048265	Rax2-like_third	1	['Rax2']	['Q12465']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR048266	Rax2-like_second	1	['Rax2']	['Q12465']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR000406	Rho_GDI	1	['Rdi1']	['Q12434']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR000591	DEP_dom	1	['Rom2']	['P51862']	6.346096096096097	0.0045045045045045045	0.0007098071690524074	0.14762716292941458
IPR001180	CNH_dom	1	['Rom2']	['P51862']	9.519144144144144	0.0045045045045045045	0.0004732047793682716	0.10100223043975808
IPR041675	PH_5	1	['Rom2']	['P51862']	19.03828828828829	0.0045045045045045045	0.0002366023896841358	0.05183901810841586
IPR019623	Rot1	1	['Rot1']	['Q03691']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR054711	eIF3a_PCI_TPR-like	1	['Rpg1']	['P38249']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR001025	BAH_dom	1	['Rsc2']	['Q06488']	7.615315315315315	0.0045045045045045045	0.0005915059742103396	0.12462366550457386
IPR001487	Bromodomain	2	['Rsc2', 'Rsc2']	['Q06488', 'Q06488']	4.759572072072072	0.009009009009009009	0.0018928191174730864	0.06471609565597487
IPR000569	HECT_dom	1	['Rsp5']	['P39940']	7.615315315315315	0.0045045045045045045	0.0005915059742103396	0.12462366550457386
IPR051973	tRNA_Anticodon_Mtase-Reg	1	['Rtt10']	['Q08924']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR004148	BAR_dom	1	['Rvs161']	['P25343']	12.692192192192193	0.0045045045045045045	0.0003549035845262037	0.07674633534777257
IPR048625	Sec10_N	1	['Sec10']	['Q06245']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR048627	Sec10_HB	1	['Sec10']	['Q06245']	19.03828828828829	0.0045045045045045045	0.0002366023896841358	0.05183901810841586
IPR046361	EXOC6/Sec15_C	1	['Sec15']	['P22224']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR048359	EXOC6_Sec15_N	1	['Sec15']	['P22224']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR009449	Sec2_N	1	['Sec2']	['P17065']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR019160	Sec3_CC	1	['Sec3']	['P33332']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR028258	Sec3-PIP2_bind	1	['Sec3']	['P33332']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR048628	Sec3_C	1	['Sec3']	['P33332']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR039481	EXOC2/Sec5_N_dom	1	['Sec5']	['P89102']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR018624	Sec66	1	['Sec66']	['P33754']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
IPR007191	Sec8_exocyst_N	1	['Sec8']	['P32855']	38.07657657657658	0.0045045045045045045	0.0001183011948420679	0.02626286525463414
