protein1	protein2	Ranking Score	iPTM	PTM	has_clash	Fraction Disordered
rho1	axl2	0.43	0.18	0.41	0.0	0.41
spa2	axl2	0.25	0.21	0.3	0.0	0.04
ste5	axl2	0.53	0.28	0.39	0.0	0.46
bem1	bem1	0.36	0.22	0.28	0.0	0.26
bem3	bem1	0.5	0.27	0.29	0.0	0.45
bni1	bem1	0.46	0.23	0.31	0.0	0.42
bem1	bud1	0.46	0.29	0.31	0.0	0.33
bud3	bem1	0.46	0.24	0.4	0.0	0.38
cdc24	bem1	0.46	0.29	0.43	0.0	0.27
cdc28	bem1	0.47	0.34	0.44	0.0	0.2
cdc42	bem1	0.87	0.81	0.46	0.0	0.26
cla4	bem1	0.54	0.34	0.37	0.0	0.37
nrp1	bem1	0.58	0.37	0.41	0.0	0.39
rax1	bem1	0.32	0.19	0.36	0.0	0.2
rdi1	bem1	0.37	0.19	0.3	0.0	0.31
bem1	rga2	0.5	0.23	0.27	0.0	0.53
rho1	bem1	0.72	0.63	0.41	0.0	0.27
spa2	bem1	0.2	0.19	0.24	0.0	0.0
bem1	ste5	0.54	0.33	0.36	0.0	0.42
bem3	bem3	0.49	0.22	0.27	0.0	0.53
bni1	bem3	0.32	0.23	0.31	0.0	0.14
bem3	bud1	0.55	0.29	0.31	0.0	0.5
bud3	bem3	0.26	0.23	0.37	0.0	0.0
bem3	cdc24	0.44	0.2	0.36	0.0	0.41
bem3	cdc28	0.45	0.22	0.31	0.0	0.43
cdc42	bem3	0.87	0.71	0.37	0.0	0.46
bem3	cla4	0.49	0.26	0.31	0.0	0.45
bem3	nrp1	0.49	0.22	0.32	0.0	0.5
bem3	rax1	0.42	0.19	0.32	0.0	0.41
rdi1	bem3	0.6	0.38	0.29	0.0	0.46
bem3	rga2	0.23	0.22	0.28	0.0	0.0
rho1	bem3	0.81	0.61	0.36	0.0	0.49
spa2	bem3	0.22	0.21	0.27	0.0	0.0
bem3	ste5	0.38	0.2	0.33	0.0	0.3
bni1	bni1	0.56	0.36	0.37	0.0	0.4
bni1	bud1	0.51	0.3	0.31	0.0	0.42
bud3	bni1	0.33	0.31	0.37	0.0	0.02
bni1	cdc24	0.53	0.36	0.35	0.0	0.36
bni1	cdc28	0.55	0.35	0.33	0.0	0.41
cdc42	bni1	0.98	0.87	0.39	0.0	0.41
bni1	cla4	0.49	0.29	0.32	0.0	0.39
bni1	nrp1	0.41	0.21	0.31	0.0	0.36
bni1	rax1	0.71	0.58	0.3	0.0	0.37
rdi1	bni1	0.42	0.19	0.31	0.0	0.4
bni1	rga2	0.48	0.22	0.31	0.0	0.49
rho1	bni1	0.93	0.82	0.39	0.0	0.4
spa2	bni1	0.3	0.28	0.31	0.0	0.02
bni1	ste5	0.44	0.22	0.31	0.0	0.4
bud1	bud1	0.46	0.26	0.42	0.0	0.35
bud3	bud1	0.52	0.28	0.41	0.0	0.43
cdc24	bud1	0.68	0.53	0.57	0.0	0.27
cdc28	bud1	0.27	0.11	0.51	0.0	0.16
cdc42	bud1	0.38	0.22	0.44	0.0	0.23
cla4	bud1	0.74	0.58	0.36	0.0	0.4
nrp1	bud1	0.44	0.19	0.41	0.0	0.42
bud1	rax1	0.35	0.21	0.47	0.0	0.19
rdi1	bud1	0.36	0.19	0.38	0.0	0.26
rga2	bud1	0.82	0.58	0.32	0.0	0.59
rho1	bud1	0.3	0.13	0.4	0.0	0.25
spa2	bud1	0.52	0.21	0.24	0.0	0.6
ste5	bud1	0.46	0.21	0.4	0.0	0.41
bud3	bud3	0.51	0.24	0.37	0.0	0.5
bud3	cdc24	0.45	0.23	0.39	0.0	0.39
bud3	cdc28	0.81	0.62	0.47	0.0	0.44
bud3	cdc42	1.05	0.91	0.5	0.0	0.44
bud3	cla4	0.48	0.22	0.39	0.0	0.46
bud3	nrp1	0.62	0.37	0.38	0.0	0.49
bud3	rax1	0.49	0.25	0.4	0.0	0.43
bud3	rdi1	0.67	0.44	0.45	0.0	0.46
bud3	rga2	0.29	0.26	0.39	0.0	0.01
bud3	rho1	0.98	0.82	0.5	0.0	0.44
bud3	spa2	0.32	0.31	0.37	0.0	0.0
bud3	ste5	0.53	0.26	0.41	0.0	0.48
cdc24	cdc24	0.39	0.23	0.39	0.0	0.26
cdc28	cdc24	0.42	0.29	0.46	0.0	0.2
cdc24	cdc42	0.96	0.89	0.68	0.0	0.22
cla4	cdc24	0.41	0.21	0.39	0.0	0.33
nrp1	cdc24	0.43	0.21	0.41	0.0	0.36
rax1	cdc24	0.31	0.17	0.41	0.0	0.19
rdi1	cdc24	0.43	0.26	0.5	0.0	0.24
cdc24	rga2	0.63	0.4	0.39	0.0	0.46
rho1	cdc24	0.92	0.84	0.66	0.0	0.23
spa2	cdc24	0.26	0.23	0.35	0.0	0.0
cdc24	ste5	0.43	0.22	0.39	0.0	0.36
cdc28	cdc28	0.22	0.14	0.52	0.0	0.0
cdc42	cdc28	0.45	0.39	0.64	0.0	0.02
cla4	cdc28	0.38	0.19	0.34	0.0	0.32
nrp1	cdc28	0.67	0.52	0.46	0.0	0.33
cdc28	rax1	0.21	0.14	0.42	0.0	0.02
rdi1	cdc28	0.4	0.33	0.6	0.0	0.05
cdc28	rga2	0.49	0.22	0.32	0.0	0.49
rho1	cdc28	0.31	0.21	0.56	0.0	0.05
spa2	cdc28	0.53	0.24	0.29	0.0	0.56
cdc28	ste5	0.41	0.2	0.41	0.0	0.35
cdc42	cdc42	0.5	0.43	0.64	0.0	0.06
cdc42	cla4	0.86	0.76	0.39	0.0	0.35
cdc42	nrp1	0.47	0.24	0.42	0.0	0.38
cdc42	rax1	0.4	0.32	0.52	0.0	0.07
rdi1	cdc42	0.88	0.83	0.83	0.0	0.1
cdc42	rga2	0.99	0.8	0.41	0.0	0.55
rho1	cdc42	0.23	0.12	0.44	0.0	0.09
cdc42	spa2	0.57	0.27	0.25	0.0	0.61
cdc42	ste5	0.5	0.28	0.43	0.0	0.38
cla4	cla4	0.42	0.18	0.32	0.0	0.41
nrp1	cla4	0.45	0.23	0.33	0.0	0.4
cla4	rax1	0.57	0.44	0.4	0.0	0.29
rdi1	cla4	0.38	0.16	0.38	0.0	0.36
cla4	rga2	0.49	0.21	0.31	0.0	0.53
rho1	cla4	0.73	0.58	0.38	0.0	0.37
spa2	cla4	0.24	0.22	0.31	0.0	0.0
cla4	ste5	0.43	0.18	0.34	0.0	0.43
nrp1	nrp1	0.42	0.16	0.34	0.0	0.45
nrp1	rax1	0.36	0.18	0.37	0.0	0.3
rdi1	nrp1	0.38	0.13	0.42	0.0	0.39
nrp1	rga2	0.7	0.44	0.32	0.0	0.56
rho1	nrp1	0.41	0.17	0.43	0.0	0.38
spa2	nrp1	0.24	0.22	0.31	0.0	0.0
nrp1	ste5	0.5	0.25	0.38	0.0	0.44
rax1	rax1	0.28	0.22	0.35	0.0	0.07
rdi1	rax1	0.37	0.26	0.49	0.0	0.12
rax1	rga2	0.49	0.24	0.32	0.0	0.47
rho1	rax1	0.55	0.5	0.61	0.0	0.07
spa2	rax1	0.24	0.22	0.3	0.0	0.01
ste5	rax1	0.67	0.52	0.48	0.0	0.32
rdi1	rdi1	0.27	0.13	0.4	0.0	0.16
rdi1	rga2	0.49	0.19	0.3	0.0	0.55
rho1	rdi1	0.88	0.82	0.84	0.0	0.12
rdi1	spa2	0.7	0.43	0.25	0.0	0.62
rdi1	ste5	0.47	0.23	0.43	0.0	0.39
rga2	rga2	0.59	0.29	0.33	0.0	0.58
rho1	rga2	0.96	0.74	0.39	0.0	0.56
spa2	rga2	0.22	0.21	0.26	0.0	0.01
ste5	rga2	0.32	0.3	0.37	0.0	0.02
rho1	rho1	0.22	0.11	0.39	0.0	0.11
rho1	spa2	0.74	0.49	0.28	0.0	0.58
rho1	ste5	0.41	0.17	0.41	0.0	0.39
spa2	spa2	0.26	0.26	0.28	0.0	0.0
spa2	ste5	0.26	0.24	0.32	0.0	0.01
ste5	ste5	0.44	0.19	0.33	0.0	0.45
